time_operate,Track,x_east,y_north,cte,yaw_control
0.0,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,0.0
0.4,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,16.643003928283715
0.8,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,16.66853000792832
1.2,linear_SN1,661485.9933535205,1509524.7266247538,0.14566144384739743,19.041698227864966
1.6,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,16.723188376342407
2.0,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,16.748714455987017
2.4,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,16.774240535631623
2.8,linear_SN1,661485.9933535205,1509524.7266247538,0.14566144384739743,19.147408755568264
3.2,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,16.828898904045708
3.6,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,16.854424983690315
4.0,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,16.88917539048054
4.4,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,16.914715639598487
4.8,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,16.940255888716436
5.2,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,16.965796137834385
5.6,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,16.982112059806717
6.0,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,17.007638139451323
6.4,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.042388546241547
6.8,linear_SN1,661485.993466926,1509524.708187173,0.14573229121410722,19.41557093565153
7.2,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.097075253602316
7.6,linear_SN1,661485.993466926,1509524.708187173,0.14573229121410722,19.470257643012303
8.0,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,17.142537633817472
8.4,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,17.16806371346208
8.8,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.202814120252302
9.2,linear_SN1,661485.9933535205,1509524.7266247538,0.14566144384739743,19.566772182516672
9.6,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,17.248262330994116
10.0,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.283012737784336
10.4,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.308552986902285
10.8,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.334093236020234
11.2,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,17.35040915799257
11.6,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.38515956478279
12.0,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.410699813900738
12.4,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.436240063018687
12.8,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.461780312136636
13.2,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.487320561254585
13.6,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.512860810372533
14.0,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.538401059490482
14.4,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.56394130860843
14.8,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.58948155772638
15.2,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.61502180684433
15.6,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.640562055962278
16.0,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.666102305080226
16.4,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,17.682418227052562
16.8,linear_SN1,661485.9754360883,1509524.7080762694,0.1277012455897444,17.717168633842782
17.2,linear_SN1,661485.9753226829,1509524.7265138503,0.12763039822303462,17.733484555815117
17.6,linear_SN1,661485.9569516291,1509524.7817156885,0.10938681104886352,15.383695585382647
18.0,linear_SN1,661485.9563846022,1509524.8739035921,0.10903257504079616,15.35945141934205
18.4,linear_SN1,661485.9376733324,1509524.9844181722,0.09057644631681676,12.97826997448809
18.8,linear_SN1,661485.9368794947,1509525.1134812373,0.09008051585049034,12.931815117035756
19.2,linear_SN1,661485.9541164943,1509525.242655206,0.10761563073336622,15.232903177956292
19.6,linear_SN1,661485.9352918192,1509525.3716073672,0.08908865491783755,12.842214052921133
20.0,linear_SN1,661485.9343845758,1509525.519108013,0.0885218769472211,12.786237292130439
20.4,linear_SN1,661485.9335907379,1509525.6481710782,0.08802594620573419,12.739371484978285
20.8,linear_SN1,661485.9325700889,1509525.8141093045,0.08738832100598821,12.673957873212508
21.2,linear_SN1,661485.9496936823,1509525.9617208538,0.1048525875590925,14.965283042627883
21.6,linear_SN1,661485.9307556017,1509526.1091105957,0.08625476465201455,12.564817017638152
22.0,linear_SN1,661485.9477657892,1509526.2751597257,0.1036481837008288,14.846691130724171
22.4,linear_SN1,661485.9105700613,1509526.4593137256,0.06687762167419083,10.079893591596072
22.8,linear_SN1,661485.9276936539,1509526.6069252747,0.08434188753939383,12.36711653158034
23.2,linear_SN1,661485.8906113317,1509526.772641694,0,0
23.6,linear_SN1,661485.8895906823,1509526.9385799204,0,0
24.0,linear_SN1,661485.8885700328,1509527.1045181467,0,0
24.4,linear_SN1,661485.8694051417,1509527.28878305,0,0
24.8,linear_SN1,661485.8865287334,1509527.4363945995,0,0
25.2,linear_SN1,661485.8855080835,1509527.6023328255,0,0
25.6,linear_SN1,661485.8843740281,1509527.786708633,0,0
26.0,linear_SN1,661485.8834667834,1509527.9342092786,0,0
26.4,linear_SN1,661485.864415298,1509528.1000366015,0,0
26.8,linear_SN1,661485.8633946477,1509528.2659748278,0,0
27.2,linear_SN1,661485.8805182382,1509528.4135863776,0,0
27.6,linear_SN1,661485.8614667526,1509528.5794137004,0,0
28.0,linear_SN1,661485.8604461022,1509528.7453519271,0,0
28.4,linear_SN1,661485.8593120459,1509528.9297277345,0,0
28.8,linear_SN1,661485.8762088242,1509529.1142144455,0,0
29.2,linear_SN1,661485.8569305274,1509529.3169169296,0,0
29.6,linear_SN1,661485.8739407108,1509529.4829660603,0,0
30.0,linear_SN1,661485.8547758196,1509529.6672309637,0,0
30.4,linear_SN1,661485.8536417626,1509529.851606771,0,0
30.8,linear_SN1,661485.8344768715,1509530.0358716745,0,0
31.2,linear_SN1,661485.8332294088,1509530.2386850624,0,0
31.6,linear_SN1,661485.7959202783,1509530.441276643,0,0
32.0,linear_SN1,661485.7584977426,1509530.6623058042,-0.0754928879507213,-8.42650285972477
32.4,linear_SN1,661485.6669827069,1509530.8830022537,-0.16649826534939677,-20.29050157462246
32.8,linear_SN1,661485.611302525,1509531.140795673,-0.2215832566888658,-27.49586710009121
33.2,linear_SN1,661485.5557357498,1509531.380151511,-0.2765973994234028,-34.703025135465694
33.6,linear_SN1,661485.500168978,1509531.6195073493,-0.33161153871843324,-41.92118555156334
34.0,linear_SN1,661485.4805504668,1509531.8775225761,-0.35063444334932525,-44.46429004224917
34.4,linear_SN1,661485.4427877177,1509532.1538644803,-0.38775923574324,-49.36806490060674
34.8,linear_SN1,661485.4051383745,1509532.4117688031,-0.42481318035770416,-54.270040336558615
35.2,linear_SN1,661485.385519864,1509532.66978403,-0.4438360843006949,-56.83178506600755
35.6,linear_SN1,661485.38381878,1509532.9463477416,-0.4448987957644034,-57.058917315442535
36.0,linear_SN1,661485.3822311013,1509533.204473872,-0.44589065986140214,-57.277037780024656
36.4,linear_SN1,661485.380756828,1509533.4441624219,-0.44681167672927136,-57.486132308193504
36.8,linear_SN1,661485.3971999802,1509533.7023994564,-0.4297725022185005,-55.356994122237
37.2,linear_SN1,661485.4138699434,1509533.9237613294,-0.41259163297431006,-53.205999447087095
37.6,linear_SN1,661485.3942514322,1509534.1817765564,-0.4316145374676218,-55.765299938711145
38.0,linear_SN1,661485.3928905635,1509534.403027526,-0.4324647080694233,-55.96231505855923
38.4,linear_SN1,661485.3732720523,1509534.661042753,-0.4514876127003153,-58.525590183115256
38.8,linear_SN1,661485.3358495192,1509534.8820719144,-0.4883998635444217,-63.421862765557975
39.2,linear_SN1,661485.3524060779,1509535.1218713687,-0.47128984056629897,-61.29181774651528
39.6,linear_SN1,661485.3510452088,1509535.343122338,-0.47214001158084123,-61.496767980721934
40.0,linear_SN1,661485.3495709335,1509535.5828108883,-0.4730610305124143,-61.711112647928914
40.4,linear_SN1,661485.3479832524,1509535.840937019,-0.47405289708585774,-61.93486588189373
40.8,linear_SN1,661485.328478144,1509536.0805146655,-0.4930049571016451,-64.49723467536643
41.2,linear_SN1,661485.3450347008,1509536.32031412,-0.475894936049646,-62.36811092581647
41.6,linear_SN1,661485.36170466,1509536.5416759937,-0.45871407079528304,-60.22634125690834
42.0,linear_SN1,661485.3782612128,1509536.781475448,-0.4416040537331114,-58.09035984957265
42.4,linear_SN1,661485.376786936,1509537.0211639986,-0.44252507417806736,-58.298597522252535
42.8,linear_SN1,661485.3753126588,1509537.260852549,-0.4434460948981838,-58.50701943484731
43.2,linear_SN1,661485.3738383815,1509537.5005410996,-0.444367116031041,-58.71562560532496
43.6,linear_SN1,661485.3903949326,1509537.7403405544,-0.4272571006198325,-56.57677502199182
44.0,linear_SN1,661485.3889206547,1509537.9800291054,-0.4281781221654305,-56.78214344735264
44.4,linear_SN1,661485.369415548,1509538.2196067518,-0.44713018039267455,-59.3353370529729
44.8,linear_SN1,661485.3679412698,1509538.4592953026,-0.4480512023510133,-59.54468014802714
45.2,linear_SN1,661485.3663535853,1509538.7174214344,-0.4490430725015434,-59.76343188209637
45.6,linear_SN1,661485.3648793064,1509538.9571099852,-0.44996409487262296,-59.97315760931123
