time_operate,x_east,y_north,latitude,longitude
0.0,661485.2317494339,1509522.4909086598,13.650066,100.4929785
0.16,661485.2317494339,1509522.4909086598,13.650066,100.4929785
0.32,661485.2317494339,1509522.4909086598,13.650066,100.4929785
0.48,661485.2317494339,1509522.4909086598,13.650066,100.4929785
0.64,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
0.8,661485.2317494339,1509522.4909086598,13.650066,100.4929785
0.96,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
1.12,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
1.28,661485.2317494339,1509522.4909086598,13.650066,100.4929785
1.44,661485.2317494339,1509522.4909086598,13.650066,100.4929785
1.6,661485.2317494339,1509522.4909086598,13.650066,100.4929785
1.76,661485.2317494339,1509522.4909086598,13.650066,100.4929785
1.92,661485.2317494339,1509522.4909086598,13.650066,100.4929785
2.08,661485.2317494339,1509522.4909086598,13.650066,100.4929785
2.24,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
2.4,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
2.56,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
2.72,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
2.88,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
3.04,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
3.2,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
3.36,661485.2317494339,1509522.4909086598,13.650066,100.4929785
3.52,661485.2317494339,1509522.4909086598,13.650066,100.4929785
3.68,661485.2317494339,1509522.4909086598,13.650066,100.4929785
3.84,661485.2317494339,1509522.4909086598,13.650066,100.4929785
4.0,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
4.16,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
4.32,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
4.48,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
4.64,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
4.8,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
4.96,661485.2497802731,1509522.4910195628,13.650066,100.49297866666667
5.12,661485.2496668685,1509522.509457143,13.650066166666667,100.49297866666667
5.28,661485.2494400591,1509522.5463323041,13.6500665,100.49297866666667
5.44,661485.2312958152,1509522.5646589824,13.65006666666667,100.4929785
5.6,661485.2310690058,1509522.6015341433,13.650067,100.4929785
5.76,661485.2308421964,1509522.6384093047,13.650067333333332,100.4929785
5.92,661485.2305019823,1509522.693722046,13.65006783333333,100.4929785
6.08,661485.2481926072,1509522.7491456908,13.650068333333328,100.49297866666667
6.24,661485.2477389883,1509522.8228960133,13.650068999999995,100.49297866666667
6.4,661485.2472853693,1509522.8966463357,13.650069666666662,100.49297866666667
6.56,661485.2288009116,1509522.970285755,13.650070333333328,100.4929785
6.72,661485.2283472926,1509523.0440360776,13.650070999999995,100.4929785
6.88,661485.227780269,1509523.1362239807,13.650071833333328,100.4929785
7.04,661485.22732665,1509523.2099743036,13.650072499999995,100.4929785
7.2,661485.2267596263,1509523.3021622067,13.650073333333328,100.4929785
7.36,661485.2261926027,1509523.3943501099,13.650074166666661,100.4929785
7.52,661485.2256255788,1509523.4865380127,13.650074999999994,100.4929785
7.68,661485.2250585549,1509523.5787259156,13.650075833333327,100.4929785
7.84,661485.2243781263,1509523.6893513992,13.650076833333328,100.4929785
8.0,661485.2418419407,1509523.7816502056,13.650077666666661,100.49297866666667
8.16,661485.2231306736,1509523.892164786,13.65007866666666,100.4929785
8.32,661485.2224502449,1509524.0027902704,13.650079666666661,100.4929785
8.48,661485.2215430066,1509524.1502909155,13.650080999999997,100.4929785
8.64,661485.220635768,1509524.2977915609,13.65008233333333,100.4929785
8.8,661485.2196151246,1509524.4637297862,13.65008383333333,100.4929785
8.96,661485.2006770482,1509524.6111195283,13.650085166666663,100.49297833333334
9.12,661485.2176872422,1509524.7771686572,13.650086666666663,100.4929785
9.28,661485.2165531935,1509524.9615444632,13.65008833333333,100.4929785
9.44,661485.2155325497,1509525.1274826892,13.650089833333329,100.4929785
9.6,661485.2145119057,1509525.2934209148,13.650091333333329,100.4929785
9.76,661485.2134912615,1509525.4593591404,13.650092833333327,100.4929785
9.92,661485.2124706174,1509525.6252973664,13.650094333333326,100.4929785
10.08,661485.229367405,1509525.8097840762,13.650095999999992,100.49297866666667
10.24,661485.2283467604,1509525.975722302,13.650097499999992,100.49297866666667
10.4,661485.2272127108,1509526.1600981082,13.650099166666658,100.49297866666667
10.56,661485.226078661,1509526.3444739147,13.650100833333322,100.49297866666667
10.72,661485.2248312061,1509526.547287302,13.650102666666655,100.49297866666667
10.88,661485.223583751,1509526.7501006888,13.650104499999985,100.49297866666667
11.04,661485.2403671319,1509526.9530249794,13.650106333333317,100.49297883333334
11.2,661485.2391196764,1509527.1558383668,13.650108166666651,100.49297883333334
11.36,661485.2377588155,1509527.3770893351,13.650110166666652,100.49297883333334
11.52,661485.2365113597,1509527.5799027223,13.650111999999984,100.49297883333334
11.68,661485.2352639036,1509527.7827161099,13.650113833333318,100.49297883333334
11.84,661485.2340164474,1509527.9855294975,13.650115666666652,100.49297883333334
12.0,661485.2507998263,1509528.1884537882,13.650117499999984,100.492979
12.16,661485.2495523696,1509528.3912671756,13.650119333333315,100.492979
12.32,661485.2483049128,1509528.594080563,13.650121166666647,100.492979
12.48,661485.2649748854,1509528.8154424345,13.650123166666647,100.49297916666667
12.64,661485.263727428,1509529.0182558226,13.650124999999981,100.49297916666667
12.8,661485.2623665653,1509529.2395067909,13.65012699999998,100.49297916666667
12.96,661485.2610057024,1509529.460757759,13.65012899999998,100.49297916666667
13.12,661485.2776756735,1509529.682119631,13.65013099999998,100.49297933333334
13.28,661485.27631481,1509529.9033705997,13.65013299999998,100.49297933333334
13.44,661485.2930981857,1509530.1062948909,13.650134833333315,100.4929795
13.6,661485.2917373216,1509530.3275458599,13.650136833333313,100.4929795
13.76,661485.2903764574,1509530.5487968284,13.650138833333314,100.4929795
13.92,661485.3071598319,1509530.7517211195,13.650140666666648,100.49297966666667
14.08,661485.3057989671,1509530.9729720883,13.650142666666648,100.49297966666667
14.24,661485.3045515077,1509531.1757854766,13.650144499999982,100.49297966666667
14.4,661485.3212214756,1509531.3971473488,13.65014649999998,100.49297983333334
14.56,661485.3198606102,1509531.6183983178,13.65014849999998,100.49297983333334
14.72,661485.3366439856,1509531.8213226097,13.650150333333315,100.49298
14.88,661485.3352831196,1509532.0425735784,13.650152333333313,100.49298
15.04,661485.334035659,1509532.2453869663,13.650154166666647,100.49298
15.2,661485.3326747925,1509532.4666379355,13.650156166666648,100.49298
15.36,661485.3314273315,1509532.6694513233,13.650157999999978,100.49298
15.52,661485.3300664648,1509532.8907022923,13.650159999999977,100.49298
15.68,661485.3285921924,1509533.1303908422,13.650162166666643,100.49298
15.84,661485.3452621569,1509533.351752715,13.650164166666643,100.49298016666667
16.0,661485.3258704579,1509533.5728927802,13.650166166666644,100.49298
16.16,661485.3245095904,1509533.7941437499,13.650168166666644,100.49298
16.32,661485.8522794403,1509535.9362302439,13.650187499999976,100.49298500000002
16.48,661485.8509185633,1509536.157481214,13.650189499999977,100.492985
16.64,661485.8133826235,1509536.396947956,13.650191666666643,100.49298466666667
16.8,661485.8120217492,1509536.6181989259,13.650193666666643,100.49298466666667
16.96,661485.7925166364,1509536.8577765725,13.65019583333331,100.4929845
17.12,661485.7910423556,1509537.0974651237,13.650197999999977,100.4929845
17.28,661485.7896814808,1509537.3187160934,13.650199999999977,100.4929845
17.44,661485.8063514376,1509537.5400779683,13.650201999999977,100.49298466666667
17.6,661485.804877156,1509537.7797665193,13.650204166666644,100.49298466666667
17.76,661485.8035162805,1509538.0010174895,13.650206166666644,100.49298466666667
17.92,661485.8021554048,1509538.2222684596,13.650208166666644,100.49298466666667
18.08,661485.8189387635,1509538.4251927538,13.650209999999978,100.49298483333334
18.24,661485.8173510745,1509538.683318886,13.650212333333313,100.49298483333334
18.4,661485.815990198,1509538.9045698561,13.650214333333311,100.49298483333334
18.56,661485.814515915,1509539.1442584076,13.65021649999998,100.49298483333334
18.72,661485.8128148189,1509539.42082212,13.650218999999977,100.49298483333334
18.88,661485.8291445499,1509539.697496738,13.65022149999998,100.492985
19.04,661485.8276702659,1509539.9371852898,13.650223666666648,100.492985
19.2,661485.8441134023,1509540.1954223267,13.65022599999998,100.49298516666667
19.36,661485.8426391177,1509540.435110878,13.650228166666647,100.49298516666667
19.52,661485.8590822557,1509540.693347915,13.65023049999998,100.49298533333334
19.68,661485.8576079705,1509540.9330364668,13.650232666666646,100.49298533333334
19.84,661485.8562470915,1509541.1542874377,13.650234666666647,100.49298533333334
20.0,661485.8546593993,1509541.41241357,13.65023699999998,100.49298533333334
20.16,661485.8531851133,1509541.6521021219,13.650239166666648,100.49298533333334
20.32,661485.8337934052,1509541.8732421882,13.650241166666648,100.49298516666667
20.48,661485.8504633541,1509542.0946040635,13.650243166666648,100.49298533333334
20.64,661485.8309582392,1509542.3341817108,13.650245333333313,100.49298516666667
20.8,661485.8297107659,1509542.5369951008,13.650247166666647,100.49298516666667
20.96,661485.792288235,1509542.7580242623,13.650249166666647,100.49298483333334
21.12,661485.7728965299,1509542.9791643282,13.650251166666648,100.49298466666667
21.28,661485.7715356498,1509543.2004152995,13.650253166666648,100.49298466666667
21.44,661485.7701747695,1509543.4216662701,13.650255166666645,100.49298466666667
21.6,661485.768813889,1509543.642917241,13.650257166666643,100.49298466666667
21.76,661485.7493087742,1509543.8824948883,13.65025933333331,100.4929845
21.92,661485.7298036624,1509544.1220725353,13.650261499999976,100.49298433333334
