time_operate,x_east,y_north,cte,yaw_control
23.84,661486.5692014439,1509542.5046670458,-0.9740172422026825,-81.7687952992916
24.0,661486.5863250118,1509542.6522785989,-0.9550155496724044,-80.44901592537423
24.16,661486.5853043469,1509542.8182168275,-0.9539232685857576,-80.52598495627534
24.32,661486.584397089,1509542.9657174752,-0.9529523523383538,-80.61225538887538
24.48,661486.5834898311,1509543.113218123,-0.9519814360909502,-80.69836076571335
24.64,661486.5824691658,1509543.279156352,-0.9508891553837713,-80.77481402696864
24.8,661486.5815619077,1509543.4266569996,-0.9499182392312345,-80.86056866774008
24.96,661486.5984586596,1509543.6111437147,-0.9306738191095436,-79.5177184474968
25.12,661486.6154688186,1509543.777192849,-0.911550763732229,-78.18108375790075
25.28,661486.61456156,1509543.924693497,-0.910579848148894,-78.26015091658594
25.44,661486.631458311,1509544.109180212,-0.8913354288810059,-76.91061323660043
25.6,661486.648468469,1509544.2752293462,-0.8722123743574941,-75.56729108740728
25.76,661486.6654786267,1509544.4412784807,-0.853089320308317,-74.22071805602388
25.92,661486.66445796,1509544.607216709,-0.8519970409292758,-74.28035976141665
27.04,661486.801446474,1509545.7881091386,-0.6999835296214788,-62.54230307944414
27.2,661486.8004258055,1509545.9540473674,-0.698891252234644,-62.575916956150905
27.36,661486.8174359599,1509546.1200965024,-0.6797682013160771,-61.199879578726424
27.52,661486.8523635293,1509546.304694124,-0.6424930133546727,-58.40163873000718
27.68,661486.8874045056,1509546.470854165,-0.6053391900427775,-55.606548173986624
27.84,661486.9044146588,1509546.6369033004,-0.5862161404523483,-54.21460704981004
28.0,661486.9393422265,1509546.8215009219,-0.5489409541036825,-51.40046247681174
28.16,661486.9742697934,1509547.0060985442,-0.5116657684190855,-48.57998117404442
28.32,661487.0091973598,1509547.1906961664,-0.47439058339855733,-45.75316314162097
28.48,661487.0442383362,1509547.3568562074,-0.43723676018152907,-42.929495179923634
28.64,661487.0612484871,1509547.5229053432,-0.4181137126781733,-41.50897680581717
28.8,661487.0781452297,1509547.7073920597,-0.39886930185344605,-40.07572054280352
28.96,661487.1131862046,1509547.8735521014,-0.3617154801542894,-37.23921408189554
29.12,661487.1661445899,1509548.0582606301,-0.30640952568130914,-32.977439252368896
29.28,661487.2011855607,1509548.224420672,-0.26925570787169845,-30.12521493355746
29.44,661487.2361131229,1509548.4090182954,-0.2319805270253172,-27.25718751713402
29.6,661487.2711540926,1509548.5751783373,-0.19482671025924328,-24.39231035012433
29.76,661487.3061950617,1509548.7413383792,-0.15767289434697213,-21.521117101006162
29.92,661487.3232052118,1509548.9073875155,0,0
30.08,661487.3583595882,1509549.0551099768,0,0
30.24,661487.3934005585,1509549.2212700194,0,0
30.4,661487.4104107047,1509549.3873191555,0,0
30.56,661487.4454516713,1509549.5534791984,0,0
30.72,661487.4624618166,1509549.7195283347,0,0
30.88,661487.4975027821,1509549.885688378,0,0
31.04,661487.5145129268,1509550.0517375146,0,0
31.2,661487.5495538913,1509550.2178975574,0,0
31.36,661487.5845948553,1509550.3840576007,0,0
31.52,661487.6016049987,1509550.5501067375,0.16074383481386362,3.3427142254573825
31.68,661487.6186151417,1509550.7161558743,0.1798668742535265,4.864888670374184
31.84,661487.6356252844,1509550.8822050109,0.1989899134085884,6.390314009748475
32.0,661487.6526354267,1509551.0482541479,0.21811295227904942,7.918990243531872
32.16,661487.6517281578,1509551.195754797,0.21908385752188403,8.03196510825169
32.32,661487.6867691218,1509551.3619148408,0.25623766850107244,10.973522768273568
32.48,661487.7037792632,1509551.5279639782,0.2753607064228637,12.511931046265175
32.64,661487.7207894042,1509551.6940131153,0.29448374396518706,14.05359021104048
32.8,661487.7377995476,1509551.860062252,0.3136067836894509,15.598500462760263
32.96,661487.7728405071,1509552.0262222963,0.3507605902098915,18.556126671690315
33.12,661487.8078814659,1509552.1923823406,0.38791439597139626,21.520068968402825
33.28,661487.8250050142,1509552.3399938967,0.40691606886421045,23.071375185749247
33.44,661487.8420151534,1509552.5060430344,0.4260391046040613,24.635398621240302
33.6,661487.8590252921,1509552.6720921714,0.44516213977471025,26.20267292831262
33.76,661487.8760354306,1509552.8381413093,0.4642851747556253,27.77319813653245
33.92,661487.9110763872,1509553.004301354,0.5014389783351897,30.756439442055456
34.08,661487.9279731158,1509553.188788073,0.5206833752144716,32.346018572425905
34.24,661487.9630140741,1509553.354948117,0.5578371805016415,35.338847705510446
34.4,661487.9800242109,1509553.520997255,0.576960213680084,36.92852752975456
34.56,661487.9788901205,1509553.7053730672,0.5781738411069138,37.12148002203547
34.72,661487.9960136658,1509553.852984624,0.5971755110588518,38.70513011516664
34.88,661488.0129103954,1509554.037471343,0.6164199089816704,40.31098453767337
35.04,661488.0298071218,1509554.221958062,0.6356643036790119,41.92011025569144
