time_operate,Track,x_east,y_north,cte,yaw_control
0.0,linear_SN2,661485.3099720906,1509594.7878803408,-1.614096461519426,0.0
0.4,linear_SN2,661485.3099720906,1509594.7878803408,-1.614096461519426,-114.66541262634001
0.8,linear_SN2,661485.3099720906,1509594.7878803408,-1.614096461519426,-114.69769455557042
1.2,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-114.72673162864467
1.6,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-114.75901264408847
2.0,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-114.79129365953227
2.4,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-114.82357467497607
2.8,linear_SN2,661485.3099720906,1509594.7878803408,-1.614096461519426,-114.85910054657603
3.2,linear_SN2,661485.3099720906,1509594.7878803408,-1.614096461519426,-114.89138247580641
3.6,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-114.92041954888066
4.0,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-114.95270056432449
4.4,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-114.98498157976829
4.8,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.01726259521209
5.2,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.04954361065589
5.6,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.08182462609969
6.0,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.11410564154349
6.4,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.14638665698732
6.8,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.17866767243112
7.2,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.21094868787492
7.6,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.24322970331872
8.0,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.27551071876252
8.4,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.30779173420635
8.8,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.34007274965015
9.2,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.37235376509395
9.6,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.40463478053775
10.0,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.43691579598155
10.4,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.46919681142538
10.8,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.50147782686918
11.2,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.53375884231298
11.6,linear_SN2,661485.2920547116,1509594.7693318513,-1.632081847446063,-116.84660682242267
12.0,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.59868149470569
12.4,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.63096251014952
12.8,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.66324352559332
13.2,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.69552454103712
13.6,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.72780555648092
14.0,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.76008657192472
14.4,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.79236758736855
14.8,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.82464860281235
15.2,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.85692961825615
15.6,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.88921063369995
16.0,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.92149164914375
16.4,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.95377266458758
16.8,linear_SN2,661485.310085501,1509594.7694427597,-1.6140507721902775,-115.98605368003138
