lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.4925803,13.64910367,100.4925815,13.64910267,0.17,42.57,42.71,00:42.7,1.214285714,4.371428571
100.492579,13.6491045,100.4925803,13.64910367,0.17,42.71,42.85,00:42.9,1.214285714,4.371428571
100.4925778,13.64910533,100.492579,13.6491045,0.16,42.85,43,17:00:43,1.066666667,3.84
100.4925765,13.64910633,100.4925778,13.64910533,0.18,43,43.14,00:43.1,1.285714286,4.628571429
100.4925752,13.64910717,100.4925765,13.64910633,0.17,43.14,43.28,00:43.3,1.214285714,4.371428571
100.4925738,13.649108,100.4925752,13.64910717,0.17,43.28,43.43,00:43.4,1.133333333,4.08
100.4925727,13.64910867,100.4925738,13.649108,0.15,43.43,43.57,00:43.6,1.071428571,3.857142857
100.4925713,13.64910933,100.4925727,13.64910867,0.16,43.57,43.71,00:43.7,1.142857143,4.114285714
100.49257,13.64911,100.4925713,13.64910933,0.16,43.71,43.86,00:43.9,1.066666667,3.84
100.4925685,13.64911083,100.49257,13.64911,0.19,43.86,44,17:00:44,1.357142857,4.885714286
100.4925672,13.64911167,100.4925685,13.64911083,0.17,44,44.14,00:44.1,1.214285714,4.371428571
100.492566,13.6491125,100.4925672,13.64911167,0.16,44.14,44.28,00:44.3,1.142857143,4.114285714
100.4925647,13.64911333,100.492566,13.6491125,0.17,44.28,44.43,00:44.4,1.133333333,4.08
100.4925632,13.64911433,100.4925647,13.64911333,0.2,44.43,44.57,00:44.6,1.428571429,5.142857143
100.4925618,13.64911517,100.4925632,13.64911433,0.17,44.57,44.71,00:44.7,1.214285714,4.371428571
100.4925605,13.64911617,100.4925618,13.64911517,0.18,44.71,44.86,00:44.9,1.2,4.32
100.4925592,13.64911717,100.4925605,13.64911617,0.18,44.86,45,17:00:45,1.285714286,4.628571429
100.492558,13.64911817,100.4925592,13.64911717,0.17,45,45.14,00:45.1,1.214285714,4.371428571
100.4925567,13.649119,100.492558,13.64911817,0.17,45.14,45.29,00:45.3,1.133333333,4.08
100.4925553,13.64912,100.4925567,13.649119,0.18,45.29,45.43,00:45.4,1.285714286,4.628571429
100.492554,13.64912083,100.4925553,13.64912,0.17,45.43,45.57,00:45.6,1.214285714,4.371428571
100.4925527,13.64912183,100.492554,13.64912083,0.18,45.57,45.71,00:45.7,1.285714286,4.628571429
100.4925512,13.64912283,100.4925527,13.64912183,0.2,45.71,45.86,00:45.9,1.333333333,4.8
100.4925497,13.64912367,100.4925512,13.64912283,0.19,45.86,46,17:00:46,1.357142857,4.885714286
100.4925483,13.64912467,100.4925497,13.64912367,0.18,46,46.14,00:46.1,1.285714286,4.628571429
100.4925468,13.6491255,100.4925483,13.64912467,0.19,46.14,46.29,00:46.3,1.266666667,4.56
100.4925455,13.6491265,100.4925468,13.6491255,0.18,46.29,46.43,00:46.4,1.285714286,4.628571429
100.4925443,13.6491275,100.4925455,13.6491265,0.17,46.43,46.57,00:46.6,1.214285714,4.371428571
100.4925428,13.64912833,100.4925443,13.6491275,0.19,46.57,46.72,00:46.7,1.266666667,4.56
100.4925415,13.64912933,100.4925428,13.64912833,0.18,46.72,46.86,00:46.9,1.285714286,4.628571429
100.4925402,13.64913017,100.4925415,13.64912933,0.17,46.86,47,17:00:47,1.214285714,4.371428571
100.4925388,13.64913117,100.4925402,13.64913017,0.18,47,47.14,00:47.1,1.285714286,4.628571429
100.4925373,13.649132,100.4925388,13.64913117,0.19,47.14,47.29,00:47.3,1.266666667,4.56
100.492536,13.64913283,100.4925373,13.649132,0.17,47.29,47.43,00:47.4,1.214285714,4.371428571
100.4925347,13.6491335,100.492536,13.64913283,0.16,47.43,47.57,00:47.6,1.142857143,4.114285714
100.4925332,13.64913433,100.4925347,13.6491335,0.19,47.57,47.72,00:47.7,1.266666667,4.56
100.4925318,13.64913517,100.4925332,13.64913433,0.17,47.72,47.86,00:47.9,1.214285714,4.371428571
100.4925303,13.649136,100.4925318,13.64913517,0.19,47.86,48,17:00:48,1.357142857,4.885714286
100.4925288,13.64913683,100.4925303,13.649136,0.19,48,48.15,00:48.2,1.266666667,4.56
100.4925275,13.64913767,100.4925288,13.64913683,0.17,48.15,48.29,00:48.3,1.214285714,4.371428571
100.4925262,13.64913833,100.4925275,13.64913767,0.16,48.29,48.43,00:48.4,1.142857143,4.114285714
100.4925248,13.64913917,100.4925262,13.64913833,0.17,48.43,48.57,00:48.6,1.214285714,4.371428571
100.4925233,13.64914,100.4925248,13.64913917,0.19,48.57,48.72,00:48.7,1.266666667,4.56
100.4925222,13.64914083,100.4925233,13.64914,0.16,48.72,48.86,00:48.9,1.142857143,4.114285714
100.4925208,13.64914167,100.4925222,13.64914083,0.17,48.86,49,17:00:49,1.214285714,4.371428571
100.4925193,13.64914267,100.4925208,13.64914167,0.2,49,49.15,00:49.2,1.333333333,4.8
100.4925178,13.6491435,100.4925193,13.64914267,0.19,49.15,49.29,00:49.3,1.357142857,4.885714286
100.4925167,13.64914433,100.4925178,13.6491435,0.16,49.29,49.43,00:49.4,1.142857143,4.114285714
100.4925155,13.64914517,100.4925167,13.64914433,0.16,49.43,49.58,00:49.6,1.066666667,3.84
100.4925142,13.649146,100.4925155,13.64914517,0.17,49.58,49.72,00:49.7,1.214285714,4.371428571
100.4925128,13.64914683,100.4925142,13.649146,0.17,49.72,49.86,00:49.9,1.214285714,4.371428571
100.4925115,13.64914767,100.4925128,13.64914683,0.17,49.86,50,17:00:50,1.214285714,4.371428571
100.4925103,13.6491485,100.4925115,13.64914767,0.16,50,50.15,00:50.1,1.066666667,3.84
100.492509,13.64914917,100.4925103,13.6491485,0.16,50.15,50.29,00:50.3,1.142857143,4.114285714
100.4925077,13.64914983,100.492509,13.64914917,0.16,50.29,50.43,00:50.4,1.142857143,4.114285714
100.4925065,13.6491505,100.4925077,13.64914983,0.15,50.43,50.58,00:50.6,1,3.6
100.4925053,13.64915133,100.4925065,13.6491505,0.16,50.58,50.72,00:50.7,1.142857143,4.114285714
100.4925042,13.64915217,100.4925053,13.64915133,0.16,50.72,50.86,00:50.9,1.142857143,4.114285714
100.492503,13.649153,100.4925042,13.64915217,0.16,50.86,51.01,00:51.0,1.066666667,3.84
100.4925017,13.64915383,100.492503,13.649153,0.17,51.01,51.15,00:51.2,1.214285714,4.371428571
100.4925005,13.64915467,100.4925017,13.64915383,0.16,51.15,51.29,00:51.3,1.142857143,4.114285714
100.4924992,13.6491555,100.4925005,13.64915467,0.17,51.29,51.43,00:51.4,1.214285714,4.371428571
100.4924978,13.6491565,100.4924992,13.6491555,0.18,51.43,51.58,00:51.6,1.2,4.32
100.4924967,13.64915767,100.4924978,13.6491565,0.18,51.58,51.72,00:51.7,1.285714286,4.628571429
100.4924953,13.64915867,100.4924967,13.64915767,0.18,51.72,51.86,00:51.9,1.285714286,4.628571429
100.4924942,13.64915967,100.4924953,13.64915867,0.17,51.86,52.01,00:52.0,1.133333333,4.08
100.492493,13.6491605,100.4924942,13.64915967,0.16,52.01,52.15,00:52.1,1.142857143,4.114285714
100.4924917,13.6491615,100.492493,13.6491605,0.18,52.15,52.29,00:52.3,1.285714286,4.628571429
100.4924905,13.6491625,100.4924917,13.6491615,0.17,52.29,52.44,00:52.4,1.133333333,4.08
100.4924893,13.6491635,100.4924905,13.6491625,0.17,52.44,52.58,00:52.6,1.214285714,4.371428571
100.4924882,13.64916467,100.4924893,13.6491635,0.18,52.58,52.72,00:52.7,1.285714286,4.628571429
100.492487,13.64916583,100.4924882,13.64916467,0.18,52.72,52.86,00:52.9,1.285714286,4.628571429
100.492486,13.649167,100.492487,13.64916583,0.17,52.86,53.01,00:53.0,1.133333333,4.08
100.4924847,13.64916817,100.492486,13.649167,0.19,53.01,53.15,00:53.2,1.357142857,4.885714286
100.4924835,13.64916933,100.4924847,13.64916817,0.18,53.15,53.29,00:53.3,1.285714286,4.628571429
100.4924823,13.64917017,100.4924835,13.64916933,0.16,53.29,53.44,00:53.4,1.066666667,3.84
100.492481,13.64917117,100.4924823,13.64917017,0.18,53.44,53.58,00:53.6,1.285714286,4.628571429
100.4924798,13.64917217,100.492481,13.64917117,0.17,53.58,53.72,00:53.7,1.214285714,4.371428571
100.4924785,13.64917317,100.4924798,13.64917217,0.18,53.72,53.87,00:53.9,1.2,4.32
100.4924773,13.64917417,100.4924785,13.64917317,0.17,53.87,54.01,00:54.0,1.214285714,4.371428571
100.4924758,13.649175,100.4924773,13.64917417,0.19,54.01,54.15,00:54.2,1.357142857,4.885714286
100.4924745,13.649176,100.4924758,13.649175,0.18,54.15,54.29,00:54.3,1.285714286,4.628571429
100.4924732,13.64917683,100.4924745,13.649176,0.17,54.29,54.44,00:54.4,1.133333333,4.08
100.4924718,13.6491775,100.4924732,13.64917683,0.16,54.44,54.58,00:54.6,1.142857143,4.114285714
