raw_x_east,raw_y_north,x_east,y_north
661486.887,1509608.092,661486.897,1509606.473
661486.8849,1509608.442,661486.893,1509606.829
661486.8647,1509608.792,661486.889,1509607.184
661486.8625,1509609.142,661486.8868,1509607.54
661486.8603,1509609.511,661486.8846,1509607.9
661486.84,1509609.88,661486.8788,1509608.259
661486.8377,1509610.249,661486.8712,1509608.621
661486.8354,1509610.617,661486.8635,1509608.982
661486.8512,1509610.986,661486.8595,1509609.343
661486.831,1509611.336,661486.8555,1509609.705
661486.8469,1509611.687,661486.8515,1509610.064
661486.8627,1509612.056,661486.8492,1509610.426
661486.8426,1509612.387,661486.847,1509610.785
661486.8405,1509612.719,661486.8448,1509611.143
661486.8384,1509613.07,661486.8426,1509611.499
661486.8544,1509613.402,661486.8441,1509611.851
661486.8523,1509613.733,661486.8455,1509612.199
661486.8323,1509614.065,661486.8452,1509612.544
661486.8481,1509614.416,661486.8449,1509612.887
661486.8278,1509614.784,661486.8446,1509613.232
661486.8257,1509615.135,661486.8425,1509613.577
661486.8234,1509615.503,661486.8386,1509613.921
661486.8031,1509615.872,661486.8346,1509614.27
661486.8188,1509616.259,661486.8324,1509614.624
661486.8164,1509616.647,661486.8302,1509614.982
661486.8139,1509617.052,661486.8262,1509615.347
661486.8115,1509617.439,661486.8221,1509615.717
661486.8092,1509617.808,661486.8198,1509616.092
661486.8248,1509618.214,661486.8175,1509616.471
661486.8225,1509618.583,661486.8169,1509616.851
661486.8202,1509618.951,661486.8164,1509617.233
661486.818,1509619.32,661486.8158,1509617.615
661486.8158,1509619.67,661486.8171,1509617.994
661486.8135,1509620.039,661486.8166,1509618.372
661486.8294,1509620.39,661486.8179,1509618.747
661486.8092,1509620.74,661486.8174,1509619.115
661486.807,1509621.109,661486.817,1509619.482
661486.7867,1509621.477,661486.8147,1509619.849
661486.7843,1509621.864,661486.8107,1509620.214
661486.782,1509622.233,661486.8066,1509620.579
661486.7976,1509622.639,661486.8043,1509620.948
661486.7951,1509623.044,661486.8021,1509621.321
661486.7745,1509623.45,661486.7979,1509621.698
661486.772,1509623.856,661486.7938,1509622.08
661486.7695,1509624.261,661486.7878,1509622.467
661486.767,1509624.667,661486.7836,1509622.86
661486.7644,1509625.091,661486.7793,1509623.258
661486.7621,1509625.478,661486.7769,1509623.658
661486.7596,1509625.884,661486.7744,1509624.06
661486.7572,1509626.271,661486.7719,1509624.464
