time_operate,x_east,y_north,latitude,longitude
0.0,661478.3737917762,1509508.8044027158,13.649942666666666,100.49291433333333
0.4,661478.3737917762,1509508.8044027158,13.649942666666666,100.49291433333333
0.8,661478.3737917762,1509508.8044027158,13.649942666666666,100.49291433333333
1.2,661478.3798020598,1509508.8044396818,13.649942666666666,100.49291438888889
1.6,661478.3858123434,1509508.8044766474,13.649942666666666,100.49291444444445
2.0,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
2.4,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
2.8,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
3.2,661478.3918982235,1509508.792221893,13.649942555555555,100.4929145
3.6,661478.3918982235,1509508.792221893,13.649942555555555,100.4929145
4.0,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
4.4,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
4.8,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
5.2,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
5.6,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
6.0,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
6.4,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
6.8,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
7.2,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
7.6,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
8.0,661478.3918982235,1509508.792221893,13.649942555555555,100.4929145
8.4,661478.3918982235,1509508.792221893,13.649942555555555,100.4929145
8.8,661478.3918982235,1509508.792221893,13.649942555555555,100.4929145
9.2,661478.3918982235,1509508.792221893,13.649942555555555,100.4929145
9.6,661478.3918982235,1509508.792221893,13.649942555555555,100.4929145
10.0,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
10.4,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
10.8,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
11.2,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
11.6,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
12.0,661478.3979085071,1509508.792258859,13.649942555555555,100.49291455555556
12.4,661478.4039187907,1509508.7922958245,13.649942555555555,100.49291461111112
12.8,661478.4039187907,1509508.7922958245,13.649942555555555,100.49291461111112
13.2,661478.4039187907,1509508.7922958245,13.649942555555555,100.49291461111112
13.6,661478.3979463067,1509508.7861129993,13.6499425,100.49291455555556
14.0,661478.3979085071,1509508.792258859,13.649942555555555,100.49291455555556
14.4,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
14.8,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
15.2,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
15.6,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
16.0,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
16.4,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
16.8,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
17.2,661478.3918226244,1509508.8045136132,13.649942666666666,100.4929145
17.6,661478.391860424,1509508.7983677532,13.64994261111111,100.4929145
18.0,661478.3979085071,1509508.792258859,13.649942555555555,100.49291455555556
18.4,661478.3979463067,1509508.7861129993,13.6499425,100.49291455555556
18.8,661478.3979463067,1509508.7861129993,13.6499425,100.49291455555556
19.2,661478.3979463067,1509508.7861129993,13.6499425,100.49291455555556
19.6,661478.4039565903,1509508.786149965,13.6499425,100.49291461111112
20.0,661478.4099668739,1509508.7861869307,13.6499425,100.49291466666666
20.4,661478.4099668739,1509508.7861869307,13.6499425,100.49291466666666
20.8,661478.4099668739,1509508.7861869307,13.6499425,100.49291466666666
21.2,661478.4099668739,1509508.7861869307,13.6499425,100.49291466666666
21.6,661478.4099668739,1509508.7861869307,13.6499425,100.49291466666666
22.0,661478.4099668739,1509508.7861869307,13.6499425,100.49291466666666
22.4,661478.4099290743,1509508.7923327906,13.649942555555555,100.49291466666666
22.8,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
23.2,661478.4098534752,1509508.8046245105,13.649942666666666,100.49291466666666
23.6,661478.4098534752,1509508.8046245105,13.649942666666666,100.49291466666666
24.0,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
24.4,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
24.8,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
25.2,661478.4098534752,1509508.8046245105,13.649942666666666,100.49291466666666
25.6,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
26.0,661478.4099290743,1509508.7923327906,13.649942555555555,100.49291466666666
26.4,661478.4099668739,1509508.7861869307,13.6499425,100.49291466666666
26.8,661478.4099290743,1509508.7923327906,13.649942555555555,100.49291466666666
27.2,661478.4099290743,1509508.7923327906,13.649942555555555,100.49291466666666
27.6,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
28.0,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
28.4,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
28.8,661478.4098912748,1509508.7984786504,13.64994261111111,100.49291466666666
29.2,661478.4099290743,1509508.7923327906,13.649942555555555,100.49291466666666
29.6,661478.4099290743,1509508.7923327906,13.649942555555555,100.49291466666666
30.0,661478.4099668739,1509508.7861869307,13.6499425,100.49291466666666
