lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.4929915,13.6503695,100.4929917,13.65036733,0.24,45.25,45.4,40:45.4,1.6,5.76
100.4929915,13.65037167,100.4929915,13.6503695,0.24,45.4,45.54,40:45.5,1.714285714,6.171428571
100.4929915,13.65037383,100.4929915,13.65037167,0.24,45.54,45.68,40:45.7,1.714285714,6.171428571
100.4929913,13.650376,100.4929915,13.65037383,0.24,45.68,45.83,40:45.8,1.6,5.76
100.4929913,13.65037817,100.4929913,13.650376,0.24,45.83,45.97,40:46.0,1.714285714,6.171428571
100.4929913,13.65038017,100.4929913,13.65037817,0.22,45.97,46.11,40:46.1,1.571428571,5.657142857
100.4929912,13.65038233,100.4929913,13.65038017,0.24,46.11,46.26,40:46.3,1.6,5.76
100.492991,13.6503845,100.4929912,13.65038233,0.24,46.26,46.4,40:46.4,1.714285714,6.171428571
100.4929908,13.6503865,100.492991,13.6503845,0.22,46.4,46.54,40:46.5,1.571428571,5.657142857
100.4929908,13.65038867,100.4929908,13.6503865,0.24,46.54,46.68,40:46.7,1.714285714,6.171428571
100.4929908,13.65039083,100.4929908,13.65038867,0.24,46.68,46.83,40:46.8,1.6,5.76
100.4929908,13.650393,100.4929908,13.65039083,0.24,46.83,46.97,40:47.0,1.714285714,6.171428571
100.4929908,13.65039517,100.4929908,13.650393,0.24,46.97,47.11,40:47.1,1.714285714,6.171428571
100.4929908,13.65039733,100.4929908,13.65039517,0.24,47.11,47.26,40:47.3,1.6,5.76
100.4929912,13.6503995,100.4929908,13.65039733,0.24,47.26,47.4,40:47.4,1.714285714,6.171428571
100.4929912,13.65040167,100.4929912,13.6503995,0.24,47.4,47.54,40:47.5,1.714285714,6.171428571
100.4929912,13.65040383,100.4929912,13.65040167,0.24,47.54,47.69,40:47.7,1.6,5.76
100.4929912,13.650406,100.4929912,13.65040383,0.24,47.69,47.83,40:47.8,1.714285714,6.171428571
100.4929912,13.65040817,100.4929912,13.650406,0.24,47.83,47.97,40:48.0,1.714285714,6.171428571
100.4929912,13.65041033,100.4929912,13.65040817,0.24,47.97,48.11,40:48.1,1.714285714,6.171428571
100.4929915,13.65041233,100.4929912,13.65041033,0.23,48.11,48.26,40:48.3,1.533333333,5.52
100.4929917,13.6504145,100.4929915,13.65041233,0.24,48.26,48.4,40:48.4,1.714285714,6.171428571
100.4929918,13.6504165,100.4929917,13.6504145,0.22,48.4,48.54,40:48.5,1.571428571,5.657142857
100.492992,13.6504185,100.4929918,13.6504165,0.22,48.54,48.69,40:48.7,1.466666667,5.28
100.492992,13.65042067,100.492992,13.6504185,0.24,48.69,48.83,40:48.8,1.714285714,6.171428571
100.492992,13.65042267,100.492992,13.65042067,0.22,48.83,48.97,40:49.0,1.571428571,5.657142857
100.4929922,13.65042483,100.492992,13.65042267,0.24,48.97,49.12,40:49.1,1.6,5.76
100.4929923,13.65042683,100.4929922,13.65042483,0.22,49.12,49.26,40:49.3,1.571428571,5.657142857
100.4929923,13.650429,100.4929923,13.65042683,0.24,49.26,49.4,40:49.4,1.714285714,6.171428571
100.4929923,13.650431,100.4929923,13.650429,0.22,49.4,49.54,40:49.5,1.571428571,5.657142857
100.4929923,13.65043317,100.4929923,13.650431,0.24,49.54,49.69,40:49.7,1.6,5.76
100.4929923,13.65043533,100.4929923,13.65043317,0.24,49.69,49.83,40:49.8,1.714285714,6.171428571
100.4929922,13.6504375,100.4929923,13.65043533,0.24,49.83,49.97,40:50.0,1.714285714,6.171428571
100.4929922,13.65043967,100.4929922,13.6504375,0.24,49.97,50.12,40:50.1,1.6,5.76
100.4929923,13.65044167,100.4929922,13.65043967,0.22,50.12,50.26,40:50.3,1.571428571,5.657142857
100.4929922,13.65044383,100.4929923,13.65044167,0.24,50.26,50.4,40:50.4,1.714285714,6.171428571
100.4929923,13.650446,100.4929922,13.65044383,0.24,50.4,50.55,40:50.6,1.6,5.76
100.4929922,13.650448,100.4929923,13.650446,0.22,50.55,50.69,40:50.7,1.571428571,5.657142857
100.4929922,13.65045017,100.4929922,13.650448,0.24,50.69,50.83,40:50.8,1.714285714,6.171428571
100.4929922,13.65045217,100.4929922,13.65045017,0.22,50.83,50.97,40:51.0,1.571428571,5.657142857
100.4929918,13.65045433,100.4929922,13.65045217,0.24,50.97,51.12,40:51.1,1.6,5.76
100.4929918,13.6504565,100.4929918,13.65045433,0.24,51.12,51.26,40:51.3,1.714285714,6.171428571
100.4929917,13.6504585,100.4929918,13.6504565,0.22,51.26,51.4,40:51.4,1.571428571,5.657142857
100.4929915,13.65046067,100.4929917,13.6504585,0.24,51.4,51.55,40:51.5,1.6,5.76
100.4929913,13.65046267,100.4929915,13.65046067,0.22,51.55,51.69,40:51.7,1.571428571,5.657142857
100.4929913,13.65046483,100.4929913,13.65046267,0.24,51.69,51.83,40:51.8,1.714285714,6.171428571
100.4929913,13.65046717,100.4929913,13.65046483,0.26,51.83,51.98,40:52.0,1.733333333,6.24
100.4929912,13.65046917,100.4929913,13.65046717,0.22,51.98,52.12,40:52.1,1.571428571,5.657142857
100.4929912,13.65047133,100.4929912,13.65046917,0.24,52.12,52.26,40:52.3,1.714285714,6.171428571
100.4929912,13.6504735,100.4929912,13.65047133,0.24,52.26,52.4,40:52.4,1.714285714,6.171428571
100.4929912,13.65047567,100.4929912,13.6504735,0.24,52.4,52.55,40:52.6,1.6,5.76
100.4929912,13.65047767,100.4929912,13.65047567,0.22,52.55,52.69,40:52.7,1.571428571,5.657142857
100.492991,13.65047983,100.4929912,13.65047767,0.24,52.69,52.83,40:52.8,1.714285714,6.171428571
100.492991,13.650482,100.492991,13.65047983,0.24,52.83,52.98,40:53.0,1.6,5.76
100.4929912,13.65048417,100.492991,13.650482,0.24,52.98,53.12,40:53.1,1.714285714,6.171428571
100.4929912,13.65048617,100.4929912,13.65048417,0.22,53.12,53.26,40:53.3,1.571428571,5.657142857
100.4929912,13.65048817,100.4929912,13.65048617,0.22,53.26,53.41,40:53.4,1.466666667,5.28
100.492991,13.65049033,100.4929912,13.65048817,0.24,53.41,53.55,40:53.6,1.714285714,6.171428571
100.492991,13.6504925,100.492991,13.65049033,0.24,53.55,53.69,40:53.7,1.714285714,6.171428571
100.492991,13.6504945,100.492991,13.6504925,0.22,53.69,53.83,40:53.8,1.571428571,5.657142857
100.492991,13.65049667,100.492991,13.6504945,0.24,53.83,53.98,40:54.0,1.6,5.76
100.492991,13.65049883,100.492991,13.65049667,0.24,53.98,54.12,40:54.1,1.714285714,6.171428571
100.492991,13.65050083,100.492991,13.65049883,0.22,54.12,54.26,40:54.3,1.571428571,5.657142857
100.492991,13.650503,100.492991,13.65050083,0.24,54.26,54.41,40:54.4,1.6,5.76
100.4929908,13.65050517,100.492991,13.650503,0.24,54.41,54.55,40:54.6,1.714285714,6.171428571
100.4929908,13.65050717,100.4929908,13.65050517,0.22,54.55,54.69,40:54.7,1.571428571,5.657142857
100.4929908,13.65050933,100.4929908,13.65050717,0.24,54.69,54.84,40:54.8,1.6,5.76
100.4929908,13.6505115,100.4929908,13.65050933,0.24,54.84,54.98,40:55.0,1.714285714,6.171428571
100.4929907,13.6505135,100.4929908,13.6505115,0.22,54.98,55.12,40:55.1,1.571428571,5.657142857
100.4929907,13.65051567,100.4929907,13.6505135,0.24,55.12,55.26,40:55.3,1.714285714,6.171428571
100.4929907,13.65051767,100.4929907,13.65051567,0.22,55.26,55.41,40:55.4,1.466666667,5.28
100.4929907,13.65051983,100.4929907,13.65051767,0.24,55.41,55.55,40:55.6,1.714285714,6.171428571
100.4929907,13.650522,100.4929907,13.65051983,0.24,55.55,55.69,40:55.7,1.714285714,6.171428571
100.4929907,13.650524,100.4929907,13.650522,0.22,55.69,55.84,40:55.8,1.466666667,5.28
100.4929907,13.650526,100.4929907,13.650524,0.22,55.84,55.98,40:56.0,1.571428571,5.657142857
100.4929907,13.65052833,100.4929907,13.650526,0.26,55.98,56.12,40:56.1,1.857142857,6.685714286
100.4929907,13.65053033,100.4929907,13.65052833,0.22,56.12,56.27,40:56.3,1.466666667,5.28
100.4929907,13.6505325,100.4929907,13.65053033,0.24,56.27,56.41,40:56.4,1.714285714,6.171428571
100.4929908,13.65053467,100.4929907,13.6505325,0.24,56.41,56.55,40:56.5,1.714285714,6.171428571
100.4929908,13.65053683,100.4929908,13.65053467,0.24,56.55,56.69,40:56.7,1.714285714,6.171428571
