Index,Lat,Lon
0,13.64997667,100.49241617
1,13.64997667,100.49241617
2,13.64997667,100.49241617
3,13.64997683,100.49241617
4,13.64997683,100.49241600
5,13.64997683,100.49241600
6,13.64997683,100.49241600
7,13.64997683,100.49241600
8,13.64997683,100.49241600
9,13.64997683,100.49241600
10,13.64997683,100.49241600
11,13.64997700,100.49241600
12,13.64997700,100.49241583
13,13.64997700,100.49241583
14,13.64997717,100.49241567
15,13.64997733,100.49241617
16,13.64997733,100.49241617
17,13.64997733,100.49241617
18,13.64997733,100.49241617
19,13.64997733,100.49241633
20,13.64997733,100.49241633
21,13.64997733,100.49241633
22,13.64997733,100.49241617
23,13.64997733,100.49241617
24,13.64997750,100.49241633
25,13.64997750,100.49241633
26,13.64997750,100.49241633
27,13.64997750,100.49241633
28,13.64997733,100.49241633
29,13.64997733,100.49241650
30,13.64997733,100.49241650
31,13.64997733,100.49241650
32,13.64997733,100.49241650
33,13.64997750,100.49241650
34,13.64997750,100.49241650
35,13.64997733,100.49241650
36,13.64997750,100.49241650
37,13.64997750,100.49241650
38,13.64997750,100.49241650
39,13.64997750,100.49241650
40,13.64997767,100.49241650
41,13.64997767,100.49241650
42,13.64997767,100.49241650
43,13.64997767,100.49241650
44,13.64997767,100.49241650
45,13.64997767,100.49241650
46,13.64997750,100.49241650
47,13.64997767,100.49241650
48,13.64997750,100.49241667
49,13.64997750,100.49241650
50,13.64997767,100.49241650
51,13.64997767,100.49241650
52,13.64997767,100.49241650
53,13.64997767,100.49241650
54,13.64997767,100.49241650
55,13.64997767,100.49241650
56,13.64997767,100.49241650
57,13.64997767,100.49241650
58,13.64997767,100.49241667
59,13.64997767,100.49241667
60,13.64997767,100.49241650
61,13.64997767,100.49241650
62,13.64997767,100.49241667
63,13.64997767,100.49241667
64,13.64997767,100.49241667
65,13.64997767,100.49241667
66,13.64997767,100.49241667
67,13.64997767,100.49241667
68,13.64997767,100.49241667
69,13.64997767,100.49241667
70,13.64997767,100.49241667
71,13.64997767,100.49241667
72,13.64997767,100.49241667
73,13.64997767,100.49241667
74,13.64997767,100.49241667
75,13.64997767,100.49241667
76,13.64997767,100.49241667
77,13.64997767,100.49241667
78,13.64997767,100.49241650
79,13.64997767,100.49241667
80,13.64997750,100.49241667
