time_operate,x_east,y_north,latitude,longitude
0,661406.4355,1509516.383,13.65001517,100.4922498
0.16,661406.4355,1509516.383,13.65001517,100.4922498
0.32,661406.4355,1509516.383,13.65001517,100.4922498
0.48,661406.4355,1509516.383,13.65001517,100.4922498
0.64,661406.4355,1509516.383,13.65001517,100.4922498
0.8,661406.4355,1509516.383,13.65001517,100.4922498
0.96,661406.4355,1509516.383,13.65001517,100.4922498
1.12,661406.4355,1509516.383,13.65001517,100.4922498
1.28,661406.4355,1509516.389,13.65001522,100.4922498
1.44,661406.4414,1509516.395,13.65001528,100.4922499
1.6,661406.4474,1509516.401,13.65001533,100.4922499
1.76,661406.4534,1509516.401,13.65001533,100.49225
1.92,661406.4534,1509516.401,13.65001533,100.49225
2.08,661406.4474,1509516.401,13.65001533,100.4922499
2.24,661406.4474,1509516.401,13.65001533,100.4922499
2.4,661406.4474,1509516.401,13.65001533,100.4922499
2.56,661406.4534,1509516.401,13.65001533,100.49225
2.72,661406.4534,1509516.401,13.65001533,100.49225
2.88,661406.4534,1509516.401,13.65001533,100.49225
3.04,661406.4534,1509516.401,13.65001533,100.49225
3.2,661406.4534,1509516.401,13.65001533,100.49225
3.36,661406.4534,1509516.401,13.65001533,100.49225
3.52,661406.4534,1509516.401,13.65001533,100.49225
3.68,661406.4534,1509516.401,13.65001533,100.49225
3.84,661406.4534,1509516.401,13.65001533,100.49225
4,661406.4534,1509516.401,13.65001533,100.49225
4.16,661406.4534,1509516.401,13.65001533,100.49225
4.32,661406.4474,1509516.401,13.65001533,100.4922499
4.48,661406.4414,1509516.401,13.65001533,100.4922499
4.64,661406.4354,1509516.401,13.65001533,100.4922498
4.8,661406.4414,1509516.401,13.65001533,100.4922499
4.96,661406.4474,1509516.401,13.65001533,100.4922499
5.12,661406.4534,1509516.401,13.65001533,100.49225
5.28,661406.4534,1509516.401,13.65001533,100.49225
5.44,661406.4474,1509516.401,13.65001533,100.4922499
5.6,661406.4414,1509516.401,13.65001533,100.4922499
5.76,661406.4354,1509516.401,13.65001533,100.4922498
5.92,661406.4414,1509516.401,13.65001533,100.4922499
6.08,661406.4474,1509516.401,13.65001533,100.4922499
6.24,661406.4534,1509516.401,13.65001533,100.49225
6.4,661406.4534,1509516.401,13.65001533,100.49225
6.56,661406.4534,1509516.401,13.65001533,100.49225
6.72,661406.4474,1509516.401,13.65001533,100.4922499
6.88,661406.4474,1509516.401,13.65001533,100.4922499
7.04,661406.4474,1509516.401,13.65001533,100.4922499
7.2,661406.4534,1509516.401,13.65001533,100.49225
7.36,661406.4534,1509516.401,13.65001533,100.49225
7.52,661406.4534,1509516.401,13.65001533,100.49225
7.68,661406.4534,1509516.401,13.65001533,100.49225
7.84,661406.4474,1509516.401,13.65001533,100.4922499
8,661406.4474,1509516.401,13.65001533,100.4922499
8.16,661406.4474,1509516.401,13.65001533,100.4922499
8.32,661406.4534,1509516.401,13.65001533,100.49225
8.48,661406.4534,1509516.401,13.65001533,100.49225
8.64,661406.4534,1509516.401,13.65001533,100.49225
8.8,661406.4534,1509516.401,13.65001533,100.49225
8.96,661406.4534,1509516.401,13.65001533,100.49225
9.12,661406.4534,1509516.401,13.65001533,100.49225
9.28,661406.4534,1509516.401,13.65001533,100.49225
9.44,661406.4534,1509516.401,13.65001533,100.49225
9.6,661406.4534,1509516.401,13.65001533,100.49225
9.76,661406.4534,1509516.401,13.65001533,100.49225
9.92,661406.4534,1509516.401,13.65001533,100.49225
10.08,661406.4534,1509516.401,13.65001533,100.49225
10.24,661406.4534,1509516.401,13.65001533,100.49225
10.4,661406.4534,1509516.401,13.65001533,100.49225
10.56,661406.4474,1509516.401,13.65001533,100.4922499
10.72,661406.4474,1509516.401,13.65001533,100.4922499
10.88,661406.4414,1509516.401,13.65001533,100.4922499
11.04,661406.4414,1509516.401,13.65001533,100.4922499
11.2,661406.4414,1509516.401,13.65001533,100.4922499
11.36,661406.4474,1509516.401,13.65001533,100.4922499
11.52,661406.4534,1509516.407,13.65001539,100.49225
11.68,661406.4474,1509516.407,13.65001539,100.4922499
11.84,661406.4414,1509516.407,13.65001539,100.4922499
12,661406.4414,1509516.401,13.65001533,100.4922499
12.16,661406.4474,1509516.401,13.65001533,100.4922499
12.32,661406.4474,1509516.401,13.65001533,100.4922499
12.48,661406.4474,1509516.401,13.65001533,100.4922499
12.64,661406.4474,1509516.401,13.65001533,100.4922499
12.8,661406.4534,1509516.401,13.65001533,100.49225
12.96,661406.4474,1509516.401,13.65001533,100.4922499
13.12,661406.4474,1509516.401,13.65001533,100.4922499
13.28,661406.4474,1509516.401,13.65001533,100.4922499
13.44,661406.4534,1509516.401,13.65001533,100.49225
13.6,661406.4534,1509516.407,13.65001539,100.49225
13.76,661406.4534,1509516.407,13.65001539,100.49225
13.92,661406.4533,1509516.414,13.65001544,100.49225
14.08,661406.4533,1509516.414,13.65001544,100.49225
14.24,661406.4533,1509516.42,13.6500155,100.49225
14.4,661406.4533,1509516.42,13.6500155,100.49225
14.56,661406.4533,1509516.42,13.6500155,100.49225
14.72,661406.4533,1509516.42,13.6500155,100.49225
14.88,661406.4533,1509516.42,13.6500155,100.49225
15.04,661406.4533,1509516.414,13.65001544,100.49225
15.2,661406.4533,1509516.414,13.65001544,100.49225
15.36,661406.4534,1509516.407,13.65001539,100.49225
15.52,661406.4534,1509516.407,13.65001539,100.49225
15.68,661406.4534,1509516.407,13.65001539,100.49225
15.84,661406.4533,1509516.414,13.65001544,100.49225
16,661406.4533,1509516.414,13.65001544,100.49225
16.16,661406.4533,1509516.414,13.65001544,100.49225
16.32,661406.4533,1509516.414,13.65001544,100.49225
16.48,661406.4533,1509516.42,13.6500155,100.49225
16.64,661406.4533,1509516.414,13.65001544,100.49225
16.8,661406.4534,1509516.407,13.65001539,100.49225
16.96,661406.4534,1509516.401,13.65001533,100.49225
17.12,661406.4534,1509516.401,13.65001533,100.49225
17.28,661406.4534,1509516.401,13.65001533,100.49225
17.44,661406.4534,1509516.401,13.65001533,100.49225
17.6,661406.4534,1509516.401,13.65001533,100.49225
17.76,661406.4534,1509516.401,13.65001533,100.49225
17.92,661406.4534,1509516.401,13.65001533,100.49225
18.08,661406.4534,1509516.401,13.65001533,100.49225
18.24,661406.4534,1509516.401,13.65001533,100.49225
18.4,661406.4534,1509516.401,13.65001533,100.49225
18.56,661406.4534,1509516.401,13.65001533,100.49225
18.72,661406.4534,1509516.401,13.65001533,100.49225
18.88,661406.4534,1509516.401,13.65001533,100.49225
19.04,661406.4534,1509516.401,13.65001533,100.49225
19.2,661406.4474,1509516.401,13.65001533,100.4922499
19.36,661406.4474,1509516.401,13.65001533,100.4922499
19.52,661406.4474,1509516.401,13.65001533,100.4922499
19.68,661406.4534,1509516.407,13.65001539,100.49225
19.84,661406.4534,1509516.407,13.65001539,100.49225
20,661406.4534,1509516.407,13.65001539,100.49225
