time_operate,raw_speed,raw_speed_filter,filter_speed,filter_speed_filter
0.16,0.0,0,0.08,0
0.32,0.0,0,0.08,0
0.48,0.0,0,0.08,0
0.64,0.0,0,0.07,0
0.8,0.42,0,0.09,0
0.96,0.0,0,0.09,0
1.12,0.0,0,0.09,0
1.28,0.0,0,0.09,0
1.44,0.0,0,0.09,0
1.6,0.0,0,0.09,0
1.76,0.0,0,0.09,0
1.92,0.0,0,0.07,0
2.08,0.0,0,0.07,0
2.24,0.41,0,0.04,0
2.4,0.0,0,0.04,0
2.56,0.0,0,0.05,0
2.72,1.67,0,0.13,0
2.88,2.08,0,0.23,0
3.04,2.92,0,0.36,0
3.2,3.75,0,0.54,0
3.36,3.75,0.75,0.73,0.16
3.52,4.17,0.96,0.94,0.2
3.68,4.59,1.19,1.17,0.25
3.84,5.02,1.44,1.42,0.32
4.0,5.0,1.67,1.65,0.4
4.16,5.85,1.96,1.94,0.49
4.32,5.42,2.23,2.21,0.6
4.48,5.44,2.5,2.48,0.72
4.64,6.27,2.82,2.79,0.85
4.8,6.25,3.13,3.11,1.0
4.96,6.68,3.46,3.44,1.17
5.12,6.25,3.78,3.75,1.35
5.28,7.09,4.13,4.11,1.56
5.44,6.68,4.44,4.44,1.78
5.6,7.1,4.8,4.8,2.01
5.76,7.09,5.15,5.15,2.27
5.92,7.51,5.45,5.44,2.53
6.08,7.52,5.72,5.71,2.81
6.24,7.1,5.93,5.92,3.09
6.4,7.1,6.09,6.09,3.36
6.56,7.1,6.26,6.26,3.64
6.72,7.52,6.43,6.42,3.92
6.88,7.51,6.58,6.57,4.19
7.04,7.51,6.7,6.7,4.45
7.2,7.52,6.83,6.82,4.71
7.36,7.92,6.93,6.93,4.96
7.52,7.52,7.03,7.03,5.2
7.68,8.34,7.18,7.18,5.43
7.84,7.92,7.26,7.26,5.66
8.0,7.92,7.35,7.34,5.87
8.16,7.93,7.41,7.4,6.07
8.32,7.93,7.49,7.49,6.25
