time_operate,raw_speed,filter_speed
0.16,0.0,0.02
0.32,0.0,0.0
0.48,0.0,0.02
0.64,0.41,0.0
0.8,0.0,0.0
0.96,0.0,0.0
1.12,0.0,0.0
1.28,0.0,0.0
1.44,0.0,0.0
1.6,0.0,0.0
1.76,0.41,0.02
1.92,0.0,0.02
2.08,0.0,0.02
2.24,0.0,0.02
2.4,0.0,0.02
2.56,0.0,0.02
2.72,0.58,0.03
2.88,1.25,0.09
3.04,1.31,0.15
3.2,1.67,0.23
3.36,1.67,0.31
3.52,2.12,0.42
3.68,1.67,0.5
3.84,1.67,0.58
4.0,2.12,0.69
4.16,1.72,0.77
4.32,2.12,0.88
4.48,2.08,0.98
4.64,2.08,1.08
4.8,2.08,1.19
4.96,1.67,1.27
5.12,2.08,1.38
5.28,2.12,1.48
5.44,1.67,1.56
5.6,2.12,1.67
5.76,2.12,1.77
5.92,2.08,1.86
6.08,2.08,1.9
6.24,2.08,1.94
6.4,1.67,1.94
6.56,2.08,1.96
6.72,2.08,1.96
6.88,2.08,1.98
7.04,1.67,1.98
7.2,2.12,1.98
7.36,2.12,2.0
7.52,2.12,2.0
7.68,1.67,1.98
7.84,2.08,1.98
8.0,2.08,1.98
8.16,2.12,2.0
8.32,1.72,1.98
8.48,2.08,1.98
8.64,2.08,2.0
8.8,2.08,2.0
8.96,1.67,1.98
9.12,2.12,1.98
9.28,2.12,1.98
9.44,2.12,1.98
9.6,2.08,2.0
9.76,2.12,2.0
9.92,2.08,2.0
10.08,2.12,2.0
10.24,2.08,2.02
10.4,2.08,2.02
10.56,2.08,2.02
10.72,2.12,2.02
10.88,2.5,2.06
11.04,1.67,2.04
11.2,2.53,2.06
11.36,1.67,2.04
11.52,2.24,2.06
11.68,2.08,2.06
11.84,2.12,2.06
12.0,2.08,2.06
12.16,2.5,2.11
12.32,2.08,2.11
12.48,2.12,2.11
12.64,2.08,2.11
12.8,2.12,2.11
12.96,2.08,2.11
13.12,2.12,2.11
13.28,2.5,2.13
13.44,1.67,2.11
13.6,2.12,2.11
13.76,2.12,2.11
13.92,2.08,2.11
14.08,2.08,2.09
14.24,2.08,2.11
14.4,2.08,2.09
14.56,2.12,2.11
14.72,1.67,2.09
14.88,2.08,2.09
15.04,2.53,2.11
15.2,1.67,2.09
15.36,2.12,2.07
15.52,2.08,2.07
15.68,2.08,2.06
15.84,2.12,2.07
16.0,2.12,2.07
16.16,2.08,2.07
16.32,2.08,2.07
16.48,2.12,2.05
16.64,2.08,2.07
16.8,2.08,2.07
16.96,2.12,2.07
17.12,2.08,2.07
17.28,2.08,2.07
17.44,2.12,2.07
17.6,1.72,2.05
17.76,2.08,2.05
17.92,2.12,2.07
18.08,1.67,2.05
18.24,2.12,2.03
18.4,2.08,2.05
18.56,2.12,2.05
18.72,2.08,2.05
18.88,2.12,2.05
19.04,2.12,2.05
19.2,1.67,2.03
19.36,2.08,2.03
19.52,2.12,2.03
19.68,2.08,2.03
19.84,2.12,2.03
20.0,1.67,2.01
20.16,2.24,2.01
20.32,2.08,2.01
20.48,2.08,2.01
20.64,1.72,1.99
20.8,2.12,2.01
20.96,2.08,2.01
21.12,2.08,2.01
21.28,1.67,2.01
21.44,2.12,2.01
21.6,2.12,2.01
21.76,2.08,2.01
21.92,1.67,1.99
22.08,2.12,1.99
22.24,2.12,1.99
22.4,2.08,2.01
22.56,1.72,1.99
22.72,2.08,1.99
22.88,2.12,1.99
23.04,1.67,1.97
23.2,2.08,1.99
23.36,1.72,1.97
23.52,2.08,1.97
23.68,2.08,1.97
23.84,1.72,1.97
24.0,2.08,1.97
24.16,1.72,1.95
24.32,2.08,1.95
24.48,1.72,1.95
24.64,2.12,1.95
24.8,2.08,1.95
24.96,2.12,1.95
25.12,2.08,1.97
25.28,1.67,1.95
25.44,2.12,1.95
25.6,2.12,1.95
25.76,2.08,1.97
25.92,1.67,1.95
26.08,2.12,1.95
26.24,2.08,1.97
26.4,2.12,1.97
26.56,2.08,1.99
26.72,1.72,1.97
26.88,2.08,1.97
27.04,2.53,2.01
27.2,1.67,1.99
27.36,2.12,2.01
27.52,2.08,2.01
27.68,2.12,2.03
27.84,2.08,2.03
28.0,1.67,2.01
28.16,2.12,2.01
28.32,2.08,2.01
28.48,2.12,2.03
28.64,2.12,2.03
28.8,2.08,2.03
28.96,1.72,2.01
29.12,2.12,2.03
29.28,2.08,2.03
29.44,2.53,2.06
29.6,2.12,2.06
29.76,2.08,2.06
29.92,1.72,2.06
