time_operate,speed_kmhr_raw,speed_kmhr_filter
0.16,0.42,0.2
0.32,0.42,0.21
0.48,0.0,0.21
0.64,0.58,0.27
0.8,0.42,0.29
0.96,0.0,0.29
1.12,0.42,0.32
1.28,0.0,0.32
1.44,0.42,0.34
1.6,0.0,0.34
1.76,0.42,0.36
1.92,0.41,0.36
2.08,0.0,0.36
2.24,0.42,0.34
2.4,0.58,0.33
2.56,0.58,0.3
2.72,0.91,0.29
2.88,1.47,0.3
3.04,1.29,0.35
3.2,1.47,0.4
3.36,1.47,0.45
3.52,1.74,0.52
3.68,1.82,0.61
3.84,2.05,0.71
4.0,1.82,0.79
4.16,2.05,0.89
4.32,2.05,0.98
4.48,2.19,1.08
4.64,2.33,1.19
4.8,2.05,1.29
4.96,2.38,1.4
5.12,2.05,1.51
5.28,2.38,1.63
5.44,2.38,1.74
5.6,2.64,1.84
5.76,2.62,1.94
5.92,2.33,2.01
6.08,2.73,2.07
6.24,2.62,2.14
6.4,2.62,2.2
6.56,2.33,2.24
6.72,2.38,2.27
6.88,2.62,2.31
7.04,2.62,2.34
7.2,2.95,2.4
7.36,2.38,2.42
7.52,2.38,2.43
7.68,2.62,2.46
7.84,2.73,2.48
8.0,2.62,2.51
8.16,2.38,2.51
8.32,2.95,2.55
8.48,2.38,2.55
8.64,2.62,2.56
8.8,2.73,2.57
8.96,2.38,2.56
9.12,2.95,2.59
9.28,2.95,2.6
9.44,2.62,2.6
9.6,2.73,2.61
9.76,2.73,2.63
9.92,2.73,2.65
10.08,2.95,2.66
10.24,2.62,2.66
10.4,2.73,2.65
10.56,2.62,2.66
10.72,3.1,2.7
10.88,2.73,2.7
11.04,2.73,2.7
11.2,2.62,2.7
11.36,2.95,2.73
11.52,2.73,2.72
11.68,2.73,2.74
11.84,2.73,2.74
12.0,2.73,2.74
12.16,2.73,2.76
12.32,2.95,2.76
12.48,2.73,2.75
12.64,3.1,2.78
12.8,2.95,2.79
12.96,2.95,2.8
13.12,2.38,2.78
13.28,2.95,2.78
13.44,2.57,2.78
13.6,2.73,2.78
13.76,2.95,2.79
13.92,2.73,2.78
14.08,2.73,2.78
14.24,2.73,2.78
14.4,2.62,2.78
14.56,2.57,2.76
14.72,2.95,2.77
14.88,2.38,2.75
15.04,2.73,2.75
15.2,2.73,2.75
15.36,2.38,2.73
15.52,2.95,2.73
15.68,2.19,2.7
15.84,2.73,2.68
16.0,2.38,2.66
16.16,2.57,2.64
16.32,2.73,2.65
16.48,2.38,2.63
16.64,2.73,2.64
16.8,2.38,2.62
16.96,2.19,2.58
17.12,2.73,2.58
17.28,2.57,2.57
17.44,2.38,2.55
17.6,2.19,2.53
17.76,2.38,2.53
17.92,2.73,2.52
18.08,2.38,2.52
18.24,2.38,2.5
18.4,2.73,2.5
18.56,2.62,2.51
18.72,2.38,2.48
18.88,2.62,2.5
19.04,2.73,2.5
19.2,2.73,2.52
19.36,2.19,2.5
19.52,2.73,2.5
19.68,2.38,2.5
19.84,2.38,2.48
20.0,2.19,2.47
20.16,2.73,2.5
20.32,2.38,2.48
20.48,2.73,2.49
20.64,2.38,2.49
20.8,2.95,2.53
20.96,2.38,2.53
21.12,2.73,2.53
21.28,2.62,2.54
21.44,2.73,2.56
21.6,2.73,2.56
21.76,2.38,2.55
21.92,2.73,2.57
22.08,2.57,2.56
22.24,2.95,2.57
22.4,2.38,2.56
22.56,2.57,2.57
22.72,2.73,2.57
22.88,2.73,2.59
23.04,2.62,2.6
23.2,2.73,2.63
23.36,2.73,2.63
23.52,2.62,2.64
23.68,2.73,2.64
23.84,2.73,2.66
24.0,2.73,2.65
24.16,2.95,2.67
24.32,2.73,2.67
24.48,2.38,2.66
24.64,2.95,2.67
24.8,2.95,2.68
24.96,2.95,2.71
25.12,2.95,2.72
25.28,2.95,2.74
25.44,2.95,2.74
25.6,2.95,2.77
25.76,3.2,2.81
25.92,2.73,2.81
26.08,3.2,2.83
26.24,2.73,2.83
26.4,2.91,2.84
26.56,3.29,2.87
26.72,2.95,2.89
26.88,3.2,2.91
27.04,3.2,2.91
27.2,2.62,2.93
27.36,3.2,2.94
27.52,2.95,2.96
27.68,3.29,3.0
27.84,3.2,3.01
28.0,2.91,3.01
28.16,3.29,3.02
28.32,2.57,3.0
28.48,2.73,2.99
28.64,2.96,2.98
28.8,2.73,2.97
28.96,2.73,2.95
29.12,2.95,2.96
29.28,3.1,2.95
29.44,2.73,2.95
29.6,2.95,2.96
29.76,2.95,2.94
29.92,2.95,2.94
30.08,2.95,2.93
30.24,2.95,2.91
30.4,2.95,2.93
30.56,2.73,2.91
30.72,2.95,2.91
30.88,2.95,2.89
31.04,2.95,2.88
31.2,3.52,2.92
31.36,2.95,2.9
31.52,2.95,2.92
31.68,2.95,2.93
31.84,2.73,2.92
32.0,3.52,2.96
32.16,2.73,2.96
32.32,2.95,2.96
32.48,2.95,2.96
32.64,2.95,2.97
32.8,2.95,2.97
32.96,2.73,2.96
33.12,3.2,2.97
33.28,2.95,2.97
33.44,2.95,2.97
33.6,3.2,2.98
33.76,3.29,3.01
33.92,2.73,3.0
34.08,2.95,3.0
34.24,2.95,3.0
34.4,2.95,2.97
34.56,2.95,2.97
34.72,2.62,2.95
34.88,3.29,2.97
35.04,2.73,2.97
35.2,3.2,2.95
35.36,2.73,2.95
35.52,2.95,2.95
35.68,2.73,2.94
35.84,2.95,2.94
36.0,2.95,2.94
36.16,2.95,2.95
36.32,2.95,2.94
36.48,2.95,2.94
36.64,2.95,2.94
36.8,2.95,2.93
36.96,2.95,2.91
37.12,2.95,2.92
37.28,2.95,2.92
37.44,2.95,2.92
37.6,2.95,2.92
37.76,2.95,2.92
37.92,2.73,2.93
38.08,2.95,2.91
38.24,3.22,2.93
38.4,2.91,2.92
38.56,3.49,2.95
38.72,2.91,2.95
38.88,2.95,2.96
39.04,3.2,2.97
39.2,2.95,2.97
39.36,43.83,4.71
39.52,3.2,4.72
39.68,2.95,4.72
39.84,2.38,4.69
40.0,2.95,4.69
40.16,3.29,4.71
40.32,2.95,4.71
40.48,2.73,4.7
40.64,2.91,4.69
40.8,3.2,4.7
40.96,2.95,4.7
41.12,2.73,4.7
41.28,2.95,4.7
41.44,3.29,4.72
41.6,2.98,4.71
41.76,3.2,4.7
41.92,2.62,4.7
42.08,3.29,4.72
42.24,2.91,4.7
42.4,2.91,4.69
42.56,2.95,2.94
42.72,2.95,2.93
42.88,2.62,2.91
43.04,2.95,2.94
43.2,2.95,2.94
43.36,2.73,2.91
43.52,2.95,2.91
43.68,3.22,2.94
43.84,2.73,2.93
44.0,2.95,2.91
44.16,3.22,2.92
44.32,3.2,2.95
44.48,2.91,2.95
44.64,2.73,2.92
44.8,3.2,2.94
44.96,2.95,2.92
45.12,2.62,2.92
45.28,2.95,2.91
45.44,2.95,2.91
45.6,3.2,2.93
45.76,2.62,2.91
45.92,2.95,2.91
46.08,2.95,2.93
46.24,3.22,2.94
46.4,2.95,2.94
46.56,3.29,2.97
46.72,2.73,2.95
46.88,2.38,2.91
47.04,2.95,2.93
47.2,2.95,2.93
47.36,3.29,2.93
47.52,2.62,2.91
47.68,2.62,2.89
47.84,3.2,2.92
48.0,2.95,2.91
48.16,2.95,2.91
48.32,2.73,2.91
48.48,3.1,2.92
48.64,2.73,2.9
48.8,2.95,2.89
48.96,2.95,2.91
49.12,2.95,2.91
49.28,3.29,2.92
49.44,2.95,2.92
49.6,2.95,2.92
49.76,3.29,2.92
49.92,3.1,2.94
50.08,2.73,2.95
50.24,2.73,2.94
50.4,3.55,2.96
50.56,3.2,2.95
50.72,3.52,3.0
50.88,2.62,3.0
51.04,3.52,3.02
51.2,3.29,3.03
51.36,3.2,3.04
51.52,3.2,3.07
51.68,2.95,3.06
51.84,3.85,3.12
52.0,2.62,3.1
52.16,3.29,3.12
52.32,2.95,3.12
52.48,3.29,3.12
52.64,2.73,3.11
52.8,3.65,3.14
52.96,2.95,3.12
53.12,3.1,3.12
53.28,3.86,3.17
53.44,3.65,3.22
53.6,2.73,3.19
53.76,2.95,3.18
53.92,3.52,3.18
54.08,3.1,3.2
54.24,2.95,3.18
54.4,3.29,3.18
54.56,3.1,3.17
54.72,3.52,3.19
54.88,3.1,3.2
55.04,3.2,3.16
55.2,2.73,3.17
55.36,3.52,3.18
55.52,2.95,3.18
55.68,2.95,3.16
55.84,3.85,3.22
56.0,3.1,3.19
56.16,3.2,3.2
56.32,3.29,3.21
56.48,2.95,3.17
56.64,3.52,3.16
56.8,3.29,3.19
56.96,3.29,3.21
57.12,2.95,3.18
57.28,3.52,3.2
57.44,3.85,3.25
57.6,2.62,3.21
57.76,3.2,3.22
57.92,3.29,3.21
58.08,3.2,3.21
58.24,2.95,3.2
58.4,4.01,3.27
58.56,2.95,3.24
58.72,3.29,3.25
58.88,3.29,3.27
59.04,2.95,3.23
59.2,3.29,3.24
59.36,3.29,3.24
59.52,3.29,3.24
59.68,2.73,3.23
59.84,3.1,3.21
60.0,2.95,3.19
60.16,3.1,3.18
60.32,3.29,3.2
60.48,3.78,3.21
60.64,3.22,3.17
60.8,2.62,3.17
60.96,3.29,3.17
61.12,3.1,3.16
61.28,3.1,3.16
61.44,2.73,3.15
61.6,3.1,3.1
61.76,3.78,3.14
61.92,2.91,3.12
62.08,2.95,3.1
62.24,3.29,3.12
62.4,2.73,3.09
62.56,2.95,3.07
62.72,3.2,3.07
62.88,2.95,3.08
63.04,3.2,3.08
63.2,3.2,3.1
63.36,2.73,3.08
63.52,3.1,3.07
63.68,2.95,3.03
63.84,2.95,3.02
64.0,3.22,3.04
64.16,2.62,3.01
64.32,3.2,3.02
64.48,3.2,3.02
64.64,2.62,3.02
64.8,2.91,3.01
64.96,2.62,2.96
65.12,2.95,2.96
65.28,3.2,2.97
65.44,2.38,2.93
65.6,3.22,2.95
65.76,2.62,2.93
65.92,2.91,2.92
66.08,3.2,2.93
66.24,2.91,2.92
66.4,2.91,2.9
66.56,3.22,2.93
66.72,2.95,2.92
66.88,2.62,2.91
67.04,2.33,2.88
67.2,2.91,2.86
67.36,3.29,2.89
67.52,2.95,2.88
67.68,2.91,2.87
67.84,3.2,2.89
68.0,2.62,2.88
68.16,3.22,2.91
68.32,3.49,2.94
68.48,2.64,2.91
68.64,3.22,2.95
68.8,2.91,2.94
68.96,2.98,2.95
69.12,3.2,2.96
69.28,2.95,2.95
69.44,2.91,2.95
69.6,2.91,2.95
69.76,3.2,2.95
69.92,2.91,2.95
