time_operate,speed_kmhr_raw,speed_kmhr_filter
0.16,0.58,0.2
0.32,0.42,0.22
0.48,0.58,0.24
0.64,0.58,0.27
0.8,0.0,0.25
0.96,0.58,0.28
1.12,0.0,0.28
1.28,0.41,0.27
1.44,0.58,0.26
1.6,0.91,0.28
1.76,1.29,0.32
1.92,1.29,0.37
2.08,1.47,0.39
2.24,1.29,0.45
2.4,1.82,0.53
2.56,1.82,0.59
2.72,1.67,0.68
2.88,2.19,0.78
3.04,2.05,0.88
3.2,2.19,0.98
3.36,2.38,1.08
3.52,2.05,1.19
3.68,2.38,1.29
3.84,2.05,1.39
4.0,2.38,1.5
4.16,2.62,1.62
4.32,2.62,1.75
4.48,2.38,1.86
4.64,2.05,1.93
4.8,2.38,2.0
4.96,2.62,2.07
5.12,2.73,2.14
5.28,2.73,2.21
5.44,2.62,2.27
5.6,2.73,2.32
5.76,2.38,2.35
5.92,3.1,2.42
6.08,2.73,2.45
6.24,3.1,2.5
6.4,3.1,2.55
6.56,3.1,2.58
6.72,2.73,2.61
6.88,3.47,2.67
7.04,3.1,2.72
7.2,3.35,2.76
7.36,3.1,2.79
7.52,3.1,2.82
7.68,2.73,2.83
7.84,3.1,2.89
8.0,3.29,2.93
8.16,3.1,2.96
8.32,3.29,2.99
8.48,2.95,3.0
8.64,3.1,3.03
8.8,3.29,3.05
8.96,3.29,3.1
9.12,3.2,3.1
9.28,3.29,3.13
9.44,3.29,3.13
9.6,2.95,3.13
9.76,2.95,3.12
9.92,2.95,3.13
10.08,3.47,3.13
10.24,3.1,3.13
10.4,3.29,3.13
10.56,3.1,3.13
10.72,3.65,3.16
10.88,3.1,3.18
11.04,3.65,3.2
11.2,3.1,3.19
11.36,3.29,3.2
11.52,3.65,3.22
11.68,2.95,3.22
11.84,3.29,3.23
12.0,3.29,3.23
12.16,3.29,3.23
12.32,3.29,3.24
12.48,3.29,3.24
12.64,3.29,3.24
12.8,3.29,3.26
12.96,2.95,3.26
13.12,3.1,3.26
13.28,3.29,3.26
13.44,3.52,3.28
13.6,2.95,3.26
13.76,3.29,3.27
13.92,3.29,3.25
14.08,3.29,3.26
14.24,2.95,3.23
14.4,2.95,3.22
14.56,2.95,3.22
14.72,3.29,3.2
14.88,2.95,3.2
15.04,3.29,3.2
15.2,3.29,3.2
15.36,3.1,3.19
15.52,2.96,3.17
15.68,3.29,3.17
15.84,2.73,3.14
16.0,3.29,3.14
16.16,3.29,3.16
16.32,3.29,3.17
16.48,2.73,3.14
16.64,3.29,3.13
16.8,3.29,3.15
16.96,2.95,3.13
17.12,2.95,3.12
17.28,3.2,3.11
17.44,3.65,3.14
17.6,2.95,3.14
17.76,3.29,3.14
17.92,3.2,3.14
18.08,3.29,3.15
18.24,3.2,3.15
18.4,3.2,3.14
18.56,2.95,3.13
18.72,3.29,3.16
18.88,2.95,3.14
19.04,3.49,3.17
19.2,3.52,3.19
19.36,3.2,3.18
19.52,3.52,3.19
19.68,3.2,3.22
19.84,3.52,3.23
20.0,3.29,3.23
20.16,3.52,3.26
20.32,3.78,3.3
20.48,3.52,3.32
20.64,3.65,3.32
20.8,3.65,3.35
20.96,3.52,3.36
21.12,3.65,3.38
21.28,3.49,3.39
21.44,3.22,3.39
21.6,3.29,3.39
21.76,3.52,3.42
21.92,3.52,3.43
22.08,3.52,3.46
22.24,3.52,3.46
22.4,3.78,3.48
22.56,3.2,3.48
22.72,3.52,3.48
22.88,3.85,3.51
23.04,3.52,3.51
23.2,3.52,3.52
23.36,3.78,3.53
23.52,3.78,3.53
23.68,3.78,3.55
23.84,3.78,3.55
24.0,3.2,3.54
24.16,3.52,3.54
24.32,3.78,3.55
24.48,3.52,3.55
24.64,4.09,3.6
24.8,3.49,3.61
24.96,3.85,3.62
25.12,3.85,3.64
25.28,3.52,3.64
25.44,3.2,3.62
25.6,3.52,3.61
25.76,4.13,3.65
25.92,3.78,3.66
26.08,4.07,3.67
26.24,3.49,3.67
26.4,3.78,3.68
26.56,3.2,3.65
26.72,3.52,3.64
26.88,3.78,3.64
27.04,3.85,3.64
27.2,3.52,3.66
27.36,3.52,3.66
27.52,3.65,3.65
27.68,3.52,3.65
27.84,3.65,3.62
28.0,3.52,3.62
28.16,3.29,3.6
28.32,3.52,3.58
28.48,3.29,3.57
28.64,3.78,3.6
28.8,3.2,3.58
28.96,3.49,3.55
29.12,3.71,3.53
29.28,3.71,3.5
29.44,3.8,3.51
29.6,3.49,3.5
29.76,3.49,3.51
29.92,3.2,3.49
30.08,3.78,3.49
30.24,3.8,3.49
30.4,3.55,3.49
30.56,3.78,3.5
30.72,3.22,3.49
30.88,3.52,3.49
31.04,3.2,3.47
31.2,2.95,3.44
31.36,3.78,3.47
31.52,3.2,3.46
31.68,3.49,3.47
31.84,3.2,3.45
32.0,3.2,3.45
32.16,3.2,3.43
32.32,3.78,3.44
32.48,3.22,3.43
32.64,3.49,3.41
32.8,3.49,3.41
32.96,2.91,3.39
33.12,3.52,3.4
33.28,3.49,3.39
33.44,3.52,3.37
33.6,3.52,3.37
33.76,3.49,3.36
33.92,2.95,3.35
34.08,3.78,3.36
34.24,2.95,3.35
34.4,3.65,3.38
34.56,3.29,3.35
34.72,3.52,3.36
34.88,3.49,3.36
35.04,3.52,3.38
35.2,3.52,3.4
35.36,3.52,3.41
35.52,3.52,3.4
35.68,3.29,3.4
35.84,3.29,3.39
36.0,3.52,3.4
36.16,4.01,3.45
36.32,3.2,3.43
36.48,3.65,3.44
36.64,3.29,3.43
36.8,3.65,3.44
36.96,3.2,3.42
37.12,4.09,3.48
37.28,3.2,3.45
37.44,3.52,3.48
37.6,3.65,3.48
37.76,2.95,3.46
37.92,3.29,3.45
38.08,3.29,3.45
38.24,2.73,3.41
38.4,3.29,3.4
38.56,3.29,3.38
38.72,3.29,3.37
38.88,3.47,3.38
39.04,3.1,3.37
39.2,3.29,3.36
39.36,3.65,3.34
39.52,3.1,3.34
39.68,3.65,3.34
39.84,3.1,3.33
40.0,2.95,3.29
40.16,3.65,3.32
40.32,3.29,3.28
40.48,3.29,3.28
40.64,3.65,3.29
40.8,3.29,3.27
40.96,4.09,3.33
41.12,3.65,3.35
41.28,4.09,3.39
41.44,3.29,3.41
41.6,3.52,3.42
41.76,3.78,3.44
41.92,3.52,3.46
42.08,3.52,3.46
42.24,2.95,3.45
42.4,4.09,3.49
42.56,4.09,3.51
42.72,3.78,3.55
42.88,3.85,3.56
43.04,3.78,3.6
43.2,3.78,3.64
43.36,3.85,3.65
43.52,3.85,3.68
43.68,3.78,3.7
43.84,3.78,3.71
44.0,4.07,3.75
44.16,3.78,3.73
44.32,3.52,3.73
44.48,3.49,3.7
44.64,3.49,3.71
44.8,4.07,3.73
44.96,3.65,3.72
45.12,3.52,3.72
45.28,4.01,3.74
45.44,3.52,3.77
45.6,4.01,3.76
45.76,3.65,3.73
45.92,3.78,3.73
46.08,3.29,3.7
46.24,3.1,3.67
46.4,3.52,3.66
46.56,4.01,3.66
46.72,3.85,3.66
46.88,3.65,3.65
47.04,3.52,3.64
47.2,4.2,3.65
47.36,3.85,3.66
47.52,4.01,3.68
47.68,4.01,3.71
47.84,3.52,3.71
48.0,3.86,3.71
48.16,4.2,3.74
48.32,3.29,3.72
48.48,3.85,3.72
48.64,3.85,3.74
48.8,3.29,3.7
48.96,4.09,3.72
49.12,3.8,3.71
49.28,3.78,3.74
49.44,3.52,3.76
49.6,4.09,3.79
49.76,3.52,3.76
49.92,3.65,3.75
50.08,3.52,3.75
50.24,3.22,3.72
50.4,3.49,3.69
50.56,3.52,3.67
50.72,3.52,3.65
50.88,3.52,3.63
51.04,3.52,3.63
51.2,3.52,3.62
51.36,3.65,3.59
51.52,3.52,3.6
51.68,3.78,3.6
51.84,3.78,3.6
52.0,3.52,3.61
