time_operate,speed_kmhr_raw,speed_kmhr_filter
0.16,0.0,0.34
0.32,0.0,0.36
0.48,0.0,0.37
0.64,0.0,0.37
0.8,0.0,0.37
0.96,0.0,0.34
1.12,0.41,0.27
1.28,0.91,0.22
1.44,1.67,0.2
1.6,1.47,0.24
1.76,1.82,0.32
1.92,1.47,0.38
2.08,1.82,0.47
2.24,2.05,0.56
2.4,1.47,0.65
2.56,1.82,0.74
2.72,2.38,0.85
2.88,1.82,0.94
3.04,2.33,1.05
3.2,2.38,1.18
3.36,2.19,1.29
3.52,2.62,1.42
3.68,2.73,1.55
3.84,2.38,1.67
4.0,2.73,1.81
4.16,2.73,1.95
4.32,2.62,2.06
4.48,2.95,2.16
4.64,2.73,2.22
4.8,2.73,2.28
4.96,2.62,2.32
5.12,2.73,2.38
5.28,2.73,2.43
5.44,2.73,2.46
5.6,2.73,2.52
5.76,2.73,2.57
5.92,3.1,2.6
6.08,2.57,2.64
6.24,2.73,2.66
6.4,2.57,2.67
6.56,3.1,2.72
6.72,2.73,2.73
6.88,2.96,2.73
7.04,3.1,2.77
7.2,2.95,2.78
7.36,3.1,2.8
7.52,3.1,2.82
7.68,2.73,2.82
7.84,2.73,2.82
8.0,3.1,2.83
8.16,2.95,2.85
8.32,3.1,2.87
8.48,2.96,2.88
8.64,2.95,2.89
8.8,2.96,2.9
8.96,2.73,2.9
9.12,3.65,2.93
9.28,2.96,2.94
9.44,3.1,2.96
9.6,2.73,2.97
9.76,3.29,2.98
9.92,3.1,3.0
10.08,2.95,3.0
10.24,3.1,3.0
10.4,3.29,3.02
10.56,3.29,3.03
10.72,3.1,3.03
10.88,3.29,3.05
11.04,2.73,3.05
11.2,3.29,3.06
11.36,2.73,3.05
11.52,3.1,3.05
11.68,3.29,3.07
11.84,3.1,3.08
12.0,2.62,3.06
12.16,3.29,3.09
12.32,3.2,3.06
12.48,2.73,3.06
12.64,2.95,3.05
12.8,2.95,3.06
12.96,2.95,3.04
13.12,2.73,3.02
13.28,2.95,3.02
13.44,2.73,3.01
13.6,2.73,2.98
13.76,2.95,2.96
13.92,2.95,2.95
14.08,2.95,2.94
14.24,2.95,2.95
14.4,2.38,2.9
14.56,2.62,2.9
14.72,2.95,2.89
14.88,2.73,2.86
15.04,2.73,2.85
15.2,2.73,2.85
15.36,2.73,2.82
15.52,2.62,2.79
15.68,2.95,2.81
15.84,2.73,2.79
16.0,2.95,2.79
16.16,2.95,2.79
16.32,2.95,2.81
16.48,2.62,2.79
16.64,2.73,2.79
16.8,2.95,2.8
16.96,2.62,2.78
17.12,2.73,2.77
17.28,2.73,2.76
17.44,2.73,2.75
17.6,2.95,2.78
17.76,2.73,2.78
17.92,2.62,2.77
18.08,2.95,2.78
18.24,2.95,2.79
18.4,2.62,2.78
18.56,2.73,2.78
18.72,3.29,2.82
18.88,2.95,2.82
19.04,2.95,2.83
19.2,2.73,2.82
19.36,2.57,2.79
19.52,2.38,2.77
19.68,2.73,2.77
19.84,2.73,2.77
20.0,2.95,2.77
20.16,3.29,2.81
20.32,2.73,2.81
20.48,2.73,2.81
20.64,3.29,2.84
20.8,2.73,2.82
20.96,3.2,2.85
21.12,3.29,2.88
21.28,3.1,2.89
21.44,2.95,2.89
21.6,2.73,2.9
21.76,3.1,2.91
21.92,3.1,2.9
22.08,3.47,2.93
22.24,3.29,2.95
22.4,3.47,2.98
22.56,4.24,3.06
22.72,3.47,3.12
22.88,3.29,3.14
23.04,3.52,3.18
23.2,3.47,3.21
23.36,3.1,3.2
23.52,3.29,3.23
23.68,3.29,3.25
23.84,3.29,3.25
24.0,3.47,3.29
24.16,2.73,3.27
24.32,3.52,3.28
24.48,2.95,3.27
24.64,3.1,3.28
24.8,3.49,3.31
24.96,2.91,3.29
25.12,3.49,3.3
25.28,2.91,3.27
25.44,3.2,3.27
25.6,2.95,3.24
25.76,3.29,3.2
25.92,2.95,3.18
26.08,2.95,3.16
26.24,3.2,3.15
26.4,3.29,3.14
26.56,3.2,3.15
26.72,2.95,3.13
26.88,3.52,3.14
27.04,3.29,3.14
27.2,3.29,3.14
27.36,3.52,3.18
27.52,2.95,3.15
27.68,3.65,3.18
27.84,3.29,3.2
28.0,3.2,3.18
28.16,3.65,3.22
28.32,2.95,3.2
28.48,3.29,3.22
28.64,3.29,3.23
28.8,3.29,3.24
28.96,3.52,3.25
29.12,3.29,3.27
29.28,2.73,3.26
29.44,2.95,3.25
29.6,3.52,3.26
29.76,2.73,3.24
29.92,3.29,3.25
30.08,2.95,3.23
30.24,3.65,3.24
30.4,3.29,3.24
30.56,3.2,3.23
30.72,3.29,3.24
30.88,3.29,3.23
31.04,2.95,3.21
31.2,2.95,3.2
31.36,2.95,3.16
31.52,2.95,3.16
31.68,3.29,3.16
31.84,2.95,3.15
32.0,2.95,3.13
32.16,2.91,3.09
32.32,3.29,3.09
32.48,2.95,3.11
32.64,3.49,3.13
32.8,3.52,3.13
32.96,3.29,3.16
33.12,3.52,3.17
33.28,3.29,3.19
33.44,2.95,3.15
33.6,3.52,3.16
33.76,2.91,3.15
33.92,3.29,3.15
34.08,3.52,3.16
34.24,3.29,3.18
34.4,2.95,3.18
34.56,2.95,3.18
34.72,3.29,3.19
34.88,2.73,3.16
35.04,2.95,3.16
35.2,2.95,3.16
35.36,3.29,3.19
35.52,2.95,3.17
35.68,2.95,3.17
35.84,2.95,3.15
36.0,3.1,3.12
36.16,3.29,3.12
36.32,2.95,3.09
36.48,3.1,3.08
36.64,2.95,3.08
36.8,3.1,3.06
36.96,2.95,3.07
37.12,2.95,3.05
37.28,2.95,3.02
37.44,3.1,3.01
37.6,3.2,3.02
37.76,2.95,3.02
37.92,3.1,3.01
38.08,2.64,3.0
38.24,2.95,3.0
38.4,3.2,3.01
38.56,2.95,2.99
38.72,2.95,2.99
38.88,2.95,2.99
39.04,3.29,3.01
39.2,2.95,3.0
39.36,3.1,2.99
39.52,2.38,2.96
39.68,3.1,2.96
39.84,3.1,2.97
40.0,2.73,2.95
40.16,3.1,2.96
40.32,3.29,2.98
40.48,3.47,3.0
40.64,3.47,3.02
40.8,3.29,3.02
40.96,3.29,3.04
41.12,3.2,3.05
41.28,3.2,3.08
41.44,3.2,3.09
41.6,2.73,3.07
41.76,3.47,3.09
41.92,3.29,3.11
42.08,3.1,3.12
42.24,3.2,3.11
42.4,3.29,3.13
42.56,2.95,3.12
42.72,3.1,3.16
42.88,2.95,3.15
43.04,3.1,3.15
43.2,3.1,3.17
43.36,2.95,3.16
43.52,3.2,3.15
43.68,2.73,3.12
43.84,3.29,3.11
44.0,2.95,3.1
44.16,3.65,3.11
