time_operate,speed_kmhr_raw,speed_kmhr_filter
0.16,0.0,0.26
0.32,0.0,0.25
0.48,0.41,0.25
0.64,0.0,0.23
0.8,0.41,0.25
0.96,0.42,0.23
1.12,0.41,0.23
1.28,0.0,0.22
1.44,0.0,0.2
1.6,0.41,0.2
1.76,0.0,0.16
1.92,0.42,0.13
2.08,0.42,0.12
2.24,0.41,0.14
2.4,0.91,0.17
2.56,1.47,0.24
2.72,1.47,0.31
2.88,1.74,0.36
3.04,1.74,0.44
3.2,2.05,0.54
3.36,2.05,0.64
3.52,2.62,0.77
3.68,2.05,0.86
3.84,2.91,1.0
4.0,2.62,1.11
4.16,2.62,1.26
4.32,2.91,1.39
4.48,2.95,1.53
4.64,2.95,1.68
4.8,3.2,1.82
4.96,3.2,1.98
5.12,2.95,2.14
5.28,3.29,2.29
5.44,3.52,2.45
5.6,3.29,2.57
5.76,3.86,2.68
5.92,3.65,2.79
6.08,3.65,2.88
6.24,4.01,2.99
6.4,3.52,3.07
6.56,3.52,3.14
6.72,3.52,3.19
6.88,4.2,3.29
7.04,3.85,3.34
7.2,4.42,3.43
7.36,3.85,3.5
7.52,4.2,3.57
7.68,3.85,3.61
7.84,3.85,3.66
8.0,3.78,3.68
8.16,4.09,3.73
8.32,4.2,3.79
8.48,4.09,3.83
8.64,4.2,3.87
8.8,3.85,3.89
8.96,3.85,3.9
9.12,4.2,3.93
9.28,3.85,3.94
9.44,4.09,3.95
9.6,3.85,3.96
9.76,4.09,3.99
9.92,3.65,4.0
10.08,4.09,3.99
10.24,3.85,3.99
10.4,3.85,3.96
10.56,3.85,3.96
10.72,3.78,3.94
10.88,3.52,3.92
11.04,3.85,3.92
11.2,3.52,3.91
11.36,4.09,3.91
11.52,3.52,3.88
11.68,3.78,3.86
11.84,3.85,3.84
12.0,3.52,3.83
12.16,3.85,3.83
12.32,3.85,3.81
12.48,4.09,3.82
12.64,3.1,3.77
12.8,3.29,3.74
12.96,3.52,3.71
13.12,3.85,3.73
13.28,3.85,3.71
13.44,3.65,3.7
13.6,4.2,3.72
13.76,3.65,3.71
13.92,3.85,3.71
14.08,3.85,3.73
14.24,3.65,3.72
14.4,3.85,3.74
14.56,3.85,3.72
14.72,3.85,3.74
14.88,3.65,3.74
15.04,3.65,3.73
15.2,3.85,3.74
15.36,3.85,3.74
15.52,3.78,3.74
15.68,3.85,3.73
15.84,3.65,3.75
16.0,4.2,3.8
16.16,3.52,3.8
16.32,4.07,3.8
16.48,3.85,3.8
16.64,4.09,3.83
16.8,3.78,3.8
16.96,3.78,3.81
17.12,3.2,3.78
17.28,4.09,3.79
17.44,3.78,3.79
17.6,3.65,3.78
17.76,3.85,3.78
17.92,3.85,3.78
18.08,4.09,3.81
18.24,3.78,3.81
18.4,3.78,3.81
18.56,4.09,3.82
18.72,3.2,3.79
18.88,3.78,3.79
19.04,3.85,3.8
19.2,4.38,3.81
19.36,3.78,3.82
19.52,4.36,3.84
19.68,3.78,3.83
19.84,4.09,3.83
20.0,4.07,3.85
20.16,3.78,3.85
20.32,3.47,3.85
20.48,3.78,3.84
20.64,4.36,3.86
20.8,4.07,3.89
20.96,4.38,3.91
21.12,4.09,3.92
21.28,4.09,3.92
21.44,4.42,3.95
21.6,3.78,3.95
21.76,4.09,3.95
21.92,3.78,3.98
22.08,3.78,3.98
22.24,3.78,3.98
22.4,3.78,3.96
22.56,7.88,4.02
