time_operate,speed_kmhr_raw,speed_kmhr_filter
0.16,0.42,0.2
0.32,0.58,0.22
0.48,0.42,0.23
0.64,0.41,0.23
0.8,0.58,0.26
0.96,0.42,0.27
1.12,0.0,0.26
1.28,0.42,0.25
1.44,0.42,0.26
1.6,0.0,0.25
1.76,0.41,0.25
1.92,0.93,0.25
2.08,1.25,0.2
2.24,1.72,0.2
2.4,2.08,0.21
2.56,2.08,0.28
2.72,2.53,0.4
2.88,2.12,0.5
3.04,2.95,0.64
3.2,3.43,0.81
3.36,2.95,0.97
3.52,3.34,1.16
3.68,3.16,1.32
3.84,3.43,1.48
4.0,3.77,1.69
4.16,3.77,1.9
4.32,3.75,2.09
4.48,3.77,2.29
4.64,3.77,2.5
4.8,4.19,2.71
4.96,4.17,2.92
5.12,4.59,3.11
5.28,4.17,3.25
5.44,4.59,3.4
5.6,4.59,3.53
5.76,4.17,3.63
5.92,4.59,3.73
6.08,4.59,3.86
6.24,4.59,3.94
6.4,4.59,4.01
6.56,5.02,4.11
6.72,4.59,4.17
6.88,5.0,4.28
7.04,5.02,4.36
7.2,4.59,4.4
7.36,4.6,4.44
7.52,5.0,4.5
7.68,5.0,4.57
7.84,5.0,4.63
8.0,5.02,4.67
8.16,5.48,4.73
8.32,5.42,4.77
8.48,5.02,4.82
8.64,5.48,4.86
8.8,5.48,4.9
8.96,5.0,4.94
9.12,5.44,4.99
9.28,5.48,5.03
9.44,5.44,5.07
9.6,5.89,5.14
9.76,5.48,5.16
9.92,5.42,5.2
10.08,5.44,5.22
10.24,5.42,5.24
10.4,5.44,5.29
10.56,5.44,5.33
10.72,5.85,5.37
10.88,5.42,5.39
11.04,5.44,5.41
11.2,5.42,5.44
11.36,5.44,5.43
11.52,5.42,5.43
11.68,5.42,5.45
11.84,5.42,5.45
12.0,5.84,5.47
12.16,5.84,5.51
12.32,5.44,5.51
12.48,5.42,5.51
12.64,5.44,5.51
12.8,5.42,5.49
12.96,5.85,5.51
13.12,5.42,5.51
13.28,5.44,5.51
13.44,5.44,5.51
13.6,5.02,5.49
13.76,5.84,5.51
13.92,5.44,5.48
14.08,5.42,5.48
14.24,5.48,5.48
14.4,5.42,5.48
14.56,5.42,5.48
14.72,5.84,5.51
14.88,5.42,5.51
15.04,5.44,5.51
15.2,5.42,5.48
15.36,5.02,5.44
15.52,5.44,5.44
15.68,5.42,5.44
15.84,5.42,5.44
16.0,5.42,5.44
16.16,5.42,5.42
16.32,5.42,5.42
16.48,5.44,5.42
16.64,5.02,5.4
16.8,5.84,5.44
16.96,5.02,5.4
17.12,5.85,5.42
17.28,5.42,5.42
17.44,5.42,5.42
17.6,5.84,5.44
17.76,5.42,5.44
17.92,5.44,5.42
18.08,5.42,5.42
18.24,5.42,5.42
18.4,5.44,5.42
18.56,5.42,5.44
18.72,5.0,5.42
18.88,5.42,5.42
19.04,5.44,5.42
19.2,5.0,5.4
19.36,5.44,5.4
19.52,5.84,5.42
19.68,5.42,5.42
19.84,5.02,5.42
20.0,5.44,5.4
20.16,5.42,5.42
20.32,5.44,5.4
20.48,5.42,5.4
20.64,5.44,5.4
20.8,5.42,5.38
20.96,5.42,5.38
21.12,5.02,5.36
21.28,5.42,5.36
21.44,5.42,5.36
21.6,5.44,5.36
21.76,5.85,5.38
21.92,5.02,5.38
22.08,5.84,5.4
22.24,5.85,5.42
22.4,5.42,5.44
22.56,5.85,5.46
22.72,5.44,5.44
22.88,5.84,5.46
23.04,5.85,5.51
23.2,5.42,5.51
23.36,5.84,5.53
23.52,5.85,5.55
23.68,5.44,5.55
23.84,5.84,5.57
