time_operate,x_east,y_north,cte,yaw_control
0.0,661488.2603626,1509525.5334146903,0.5009147495965958,0.0
0.16,661488.2783934372,1509525.5335255954,0.5189455371686401,40.65112814790402
0.32,661488.2783934372,1509525.5335255954,0.5189455371686401,40.73934888922269
0.48,661488.2783934372,1509525.5335255954,0.5189455371686401,40.827569630541355
0.64,661488.2783934372,1509525.5335255954,0.5189455371686401,40.91579037186003
0.8,661488.2783934372,1509525.5335255954,0.5189455371686401,41.00401111317869
0.96,661488.2603626,1509525.5334146903,0.5009147495965958,39.682765189990654
1.12,661488.2603626,1509525.5334146903,0.5009147495965958,39.76792069742208
1.28,661488.2603626,1509525.5334146903,0.5009147495965958,39.853076204853494
1.44,661488.2603626,1509525.5334146903,0.5009147495965958,39.93823171228492
1.6,661488.2603626,1509525.5334146903,0.5009147495965958,40.02338721971634
1.76,661488.2603626,1509525.5334146903,0.5009147495965958,40.108542727147764
1.92,661488.2603626,1509525.5334146903,0.5009147495965958,40.19369823457919
2.08,661488.2603626,1509525.5334146903,0.5009147495965958,40.278853742010604
2.24,661488.2603626,1509525.5334146903,0.5009147495965958,40.36400924944203
time_operate,x_east,y_north,cte,yaw_control
0.0,661488.2960840533,1509525.5889492433,0.5373404191635469,0.0
0.16,661488.2960840533,1509525.5889492433,0.5373404191635469,42.09524843727226
0.32,661488.2960840533,1509525.5889492433,0.5373404191635469,42.18659630853007
0.48,661488.2960840533,1509525.5889492433,0.5373404191635469,42.277944179787866
0.64,661488.2960840533,1509525.5889492433,0.5373404191635469,42.369292051045676
0.8,661488.2960840533,1509525.5889492433,0.5373404191635469,42.46063992230348
0.96,661488.2960840533,1509525.5889492433,0.5373404191635469,42.55198779356128
1.12,661488.2960840533,1509525.5889492433,0.5373404191635469,42.643335664819084
1.28,661488.2960840533,1509525.5889492433,0.5373404191635469,42.734683536076886
1.44,661488.2960840533,1509525.5889492433,0.5373404191635469,42.82603140733469
1.6,661488.2960840533,1509525.5889492433,0.5373404191635469,42.91737927859249
1.76,661488.2960840533,1509525.5889492433,0.5373404191635469,43.008727149850294
1.92,661488.2960840533,1509525.5889492433,0.5373404191635469,43.1000750211081
2.08,661488.2959706462,1509525.6073868242,0.5374617838130561,43.200909967018035
2.24,661488.278053216,1509525.5888383382,0.5193096314966356,41.87332472369166
2.4,661488.277939809,1509525.607275919,0.5194309961461447,41.97109443569822
2.56,661488.277939809,1509525.607275919,0.5194309961461447,42.05939770504307
2.72,661488.277939809,1509525.607275919,0.5194309961461447,42.14770097438791
2.88,661488.277939809,1509525.607275919,0.5194309961461447,42.23600424373275
3.04,661488.277939809,1509525.607275919,0.5194309961461447,42.3243075130776
3.2,661488.277939809,1509525.607275919,0.5194309961461447,42.41261078242245
3.36,661488.277939809,1509525.607275919,0.5194309961461447,42.50091405176729
3.52,661488.277939809,1509525.607275919,0.5194309961461447,42.58921732111213
3.68,661488.277939809,1509525.607275919,0.5194309961461447,42.67752059045698
3.84,661488.278053216,1509525.5888383382,0.5193096314966356,42.75633678514969
4.0,661488.278053216,1509525.5888383382,0.5193096314966356,42.84461942250412
4.16,661488.278053216,1509525.5888383382,0.5193096314966356,42.93290205985855
4.32,661488.278053216,1509525.5888383382,0.5193096314966356,43.02118469721297
4.48,661488.278053216,1509525.5888383382,0.5193096314966356,43.1094673345674
4.64,661488.278053216,1509525.5888383382,0.5193096314966356,43.19774997192183
4.8,661488.277939809,1509525.607275919,0.5194309961461447,43.29551968392839
4.96,661488.277939809,1509525.607275919,0.5194309961461447,43.38382295327324
5.12,661488.277939809,1509525.607275919,0.5194309961461447,43.47212622261808
5.28,661488.277939809,1509525.607275919,0.5194309961461447,43.56042949196292
5.44,661488.2599089717,1509525.6071650137,0.5014002084792334,42.23926608938531
5.6,661488.2599089717,1509525.6071650137,0.5014002084792334,42.32450412482678
5.76,661488.2599089717,1509525.6071650137,0.5014002084792334,42.40974216026825
5.92,661488.2599089717,1509525.6071650137,0.5014002084792334,42.49498019570972
6.08,661488.2599089717,1509525.6071650137,0.5014002084792334,42.58021823115119
6.24,661488.2599089717,1509525.6071650137,0.5014002084792334,42.665456266592656
6.4,661488.2599089717,1509525.6071650137,0.5014002084792334,42.75069430203413
6.56,661488.2599089717,1509525.6071650137,0.5014002084792334,42.8359323374756
6.72,661488.2599089717,1509525.6071650137,0.5014002084792334,42.92117037291707
6.88,661488.2599089717,1509525.6071650137,0.5014002084792334,43.00640840835854
7.04,661488.2599089717,1509525.6071650137,0.5014002084792334,43.09164644380001
7.2,661488.2418781344,1509525.6070541085,0.48336942062258814,41.767417792487514
7.36,661488.2418781344,1509525.6070541085,0.48336942062258814,41.849590593993355
7.52,661488.2599089717,1509525.6071650137,0.5014002084792334,43.341230082253155
7.68,661488.2599089717,1509525.6071650137,0.5014002084792334,43.426468117694625
7.84,661488.2418781344,1509525.6070541085,0.48336942062258814,42.10223946638214
8.0,661488.2418781344,1509525.6070541085,0.48336942062258814,42.18441226788798
8.16,661488.2418781344,1509525.6070541085,0.48336942062258814,42.26658506939381
8.32,661488.2418781344,1509525.6070541085,0.48336942062258814,42.348757870899654
8.48,661488.2418781344,1509525.6070541085,0.48336942062258814,42.430930672405495
8.64,661488.2418781344,1509525.6070541085,0.48336942062258814,42.513103473911336
8.8,661488.2418781344,1509525.6070541085,0.48336942062258814,42.59527627541718
8.96,661488.2418781344,1509525.6070541085,0.48336942062258814,42.67744907692301
9.12,661488.2418781344,1509525.6070541085,0.48336942062258814,42.75962187842885
