lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.4929118,13.65003067,100.4929118,13.65003083,0.02,0.14,0.28,34:00.3,0.142857143,0.514285714
100.4929118,13.65003067,100.4929118,13.65003067,0,0.28,0.42,34:00.4,0,0
100.4929118,13.65003067,100.4929118,13.65003067,0,0.42,0.57,34:00.6,0,0
100.4929118,13.65003067,100.4929118,13.65003067,0,0.57,0.71,34:00.7,0,0
100.4929118,13.65003083,100.4929118,13.65003067,0.02,0.71,0.85,34:00.8,0.142857143,0.514285714
100.4929123,13.65003133,100.4929118,13.65003083,0.08,0.85,0.99,34:01.0,0.571428571,2.057142857
100.492913,13.650032,100.4929123,13.65003133,0.1,0.99,1.14,34:01.1,0.666666667,2.4
100.492914,13.65003317,100.492913,13.650032,0.17,1.14,1.28,34:01.3,1.214285714,4.371428571
100.4929153,13.65003467,100.492914,13.65003317,0.22,1.28,1.42,34:01.4,1.571428571,5.657142857
100.4929167,13.65003667,100.4929153,13.65003467,0.26,1.42,1.57,34:01.6,1.733333333,6.24
100.4929185,13.650039,100.4929167,13.65003667,0.33,1.57,1.71,34:01.7,2.357142857,8.485714286
100.4929202,13.6500415,100.4929185,13.650039,0.33,1.71,1.85,34:01.9,2.357142857,8.485714286
100.4929218,13.65004433,100.4929202,13.6500415,0.36,1.85,2,17:34:02,2.4,8.64
100.4929235,13.65004717,100.4929218,13.65004433,0.36,2,2.14,34:02.1,2.571428571,9.257142857
100.4929252,13.65005033,100.4929235,13.65004717,0.4,2.14,2.28,34:02.3,2.857142857,10.28571429
100.4929268,13.65005367,100.4929252,13.65005033,0.41,2.28,2.42,34:02.4,2.928571429,10.54285714
100.4929283,13.65005717,100.4929268,13.65005367,0.42,2.42,2.57,34:02.6,2.8,10.08
100.4929297,13.65006083,100.4929283,13.65005717,0.43,2.57,2.71,34:02.7,3.071428571,11.05714286
100.492931,13.65006467,100.4929297,13.65006083,0.45,2.71,2.85,34:02.9,3.214285714,11.57142857
100.4929323,13.65006867,100.492931,13.65006467,0.47,2.85,3,17:34:03,3.133333333,11.28
100.4929335,13.65007283,100.4929323,13.65006867,0.48,3,3.14,34:03.1,3.428571429,12.34285714
100.4929342,13.650077,100.4929335,13.65007283,0.47,3.14,3.28,34:03.3,3.357142857,12.08571429
100.4929352,13.65008133,100.4929342,13.650077,0.49,3.28,3.43,34:03.4,3.266666667,11.76
100.4929358,13.65008583,100.4929352,13.65008133,0.51,3.43,3.57,34:03.6,3.642857143,13.11428571
100.4929365,13.6500905,100.4929358,13.65008583,0.52,3.57,3.71,34:03.7,3.714285714,13.37142857
100.492937,13.650095,100.4929365,13.6500905,0.5,3.71,3.85,34:03.9,3.571428571,12.85714286
100.4929378,13.65009983,100.492937,13.650095,0.54,3.85,4,17:34:04,3.6,12.96
100.4929388,13.65010433,100.4929378,13.65009983,0.51,4,4.14,34:04.1,3.642857143,13.11428571
100.4929397,13.65010917,100.4929388,13.65010433,0.54,4.14,4.28,34:04.3,3.857142857,13.88571429
100.4929407,13.650114,100.4929397,13.65010917,0.55,4.28,4.43,34:04.4,3.666666667,13.2
100.4929412,13.650119,100.4929407,13.650114,0.56,4.43,4.57,34:04.6,4,14.4
100.4929418,13.65012383,100.4929412,13.650119,0.54,4.57,4.71,34:04.7,3.857142857,13.88571429
100.4929425,13.650129,100.4929418,13.65012383,0.58,4.71,4.86,34:04.9,3.866666667,13.92
100.492943,13.650134,100.4929425,13.650129,0.56,4.86,5,17:34:05,4,14.4
100.4929432,13.65013917,100.492943,13.650134,0.57,5,5.14,34:05.1,4.071428571,14.65714286
100.4929432,13.6501445,100.4929432,13.65013917,0.59,5.14,5.28,34:05.3,4.214285714,15.17142857
100.4929433,13.65014983,100.4929432,13.6501445,0.59,5.28,5.43,34:05.4,3.933333333,14.16
100.4929433,13.65015533,100.4929433,13.65014983,0.61,5.43,5.57,34:05.6,4.357142857,15.68571429
100.4929432,13.65016067,100.4929433,13.65015533,0.59,5.57,5.71,34:05.7,4.214285714,15.17142857
100.4929432,13.65016617,100.4929432,13.65016067,0.61,5.71,5.86,34:05.9,4.066666667,14.64
100.492943,13.65017183,100.4929432,13.65016617,0.63,5.86,6,17:34:06,4.5,16.2
100.492943,13.65017733,100.492943,13.65017183,0.61,6,6.14,34:06.1,4.357142857,15.68571429
100.492943,13.650183,100.492943,13.65017733,0.63,6.14,6.29,34:06.3,4.2,15.12
100.4929428,13.65018883,100.492943,13.650183,0.65,6.29,6.43,34:06.4,4.642857143,16.71428571
100.4929427,13.6501945,100.4929428,13.65018883,0.63,6.43,6.57,34:06.6,4.5,16.2
100.4929427,13.65020017,100.4929427,13.6501945,0.63,6.57,6.71,34:06.7,4.5,16.2
100.4929425,13.650206,100.4929427,13.65020017,0.65,6.71,6.86,34:06.9,4.333333333,15.6
100.4929423,13.650212,100.4929425,13.650206,0.67,6.86,7,17:34:07,4.785714286,17.22857143
100.4929422,13.65021783,100.4929423,13.650212,0.65,7,7.14,34:07.1,4.642857143,16.71428571
100.4929422,13.65022383,100.4929422,13.65021783,0.67,7.14,7.29,34:07.3,4.466666667,16.08
100.4929422,13.65022983,100.4929422,13.65022383,0.67,7.29,7.43,34:07.4,4.785714286,17.22857143
