lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.4926107,13.64905817,100.4926107,13.64905817,0,43.91,44.05,49:44.1,0,0
100.4926107,13.64905833,100.4926107,13.64905817,0.02,44.05,44.2,49:44.2,0.133333333,0.48
100.4926107,13.64905817,100.4926107,13.64905833,0.02,44.2,44.34,49:44.3,0.142857143,0.514285714
100.4926108,13.64905833,100.4926107,13.64905817,0.03,44.34,44.48,49:44.5,0.214285714,0.771428571
100.4926107,13.64905833,100.4926108,13.64905833,0.02,44.48,44.63,49:44.6,0.133333333,0.48
100.4926105,13.6490585,100.4926107,13.64905833,0.03,44.63,44.77,49:44.8,0.214285714,0.771428571
100.4926103,13.64905883,100.4926105,13.6490585,0.04,44.77,44.91,49:44.9,0.285714286,1.028571429
100.4926102,13.649059,100.4926103,13.64905883,0.03,44.91,45.05,49:45.1,0.214285714,0.771428571
100.49261,13.64905917,100.4926102,13.649059,0.03,45.05,45.2,49:45.2,0.2,0.72
100.4926097,13.64905933,100.49261,13.64905917,0.04,45.2,45.34,49:45.3,0.285714286,1.028571429
100.4926092,13.6490595,100.4926097,13.64905933,0.06,45.34,45.48,49:45.5,0.428571429,1.542857143
100.4926088,13.64905983,100.4926092,13.6490595,0.05,45.48,45.63,49:45.6,0.333333333,1.2
100.4926083,13.64906017,100.4926088,13.64905983,0.07,45.63,45.77,49:45.8,0.5,1.8
100.4926082,13.64906083,100.4926083,13.64906017,0.08,45.77,45.91,49:45.9,0.571428571,2.057142857
100.4926078,13.6490615,100.4926082,13.64906083,0.08,45.91,46.06,49:46.1,0.533333333,1.92
100.4926077,13.649062,100.4926078,13.6490615,0.06,46.06,46.2,49:46.2,0.428571429,1.542857143
100.4926072,13.64906217,100.4926077,13.649062,0.06,46.2,46.34,49:46.3,0.428571429,1.542857143
100.4926068,13.6490625,100.4926072,13.64906217,0.05,46.34,46.48,49:46.5,0.357142857,1.285714286
100.4926063,13.64906267,100.4926068,13.6490625,0.06,46.48,46.63,49:46.6,0.4,1.44
100.492606,13.649063,100.4926063,13.64906267,0.05,46.63,46.77,49:46.8,0.357142857,1.285714286
100.4926057,13.6490635,100.492606,13.649063,0.07,46.77,46.91,49:46.9,0.5,1.8
100.4926052,13.649064,100.4926057,13.6490635,0.08,46.91,47.06,49:47.1,0.533333333,1.92
100.4926048,13.64906433,100.4926052,13.649064,0.05,47.06,47.2,49:47.2,0.357142857,1.285714286
100.4926042,13.64906467,100.4926048,13.64906433,0.08,47.2,47.34,49:47.3,0.571428571,2.057142857
100.4926038,13.649065,100.4926042,13.64906467,0.05,47.34,47.49,49:47.5,0.333333333,1.2
100.4926033,13.6490655,100.4926038,13.649065,0.08,47.49,47.63,49:47.6,0.571428571,2.057142857
100.4926028,13.64906583,100.4926033,13.6490655,0.07,47.63,47.77,49:47.8,0.5,1.8
100.4926023,13.64906633,100.4926028,13.64906583,0.08,47.77,47.91,49:47.9,0.571428571,2.057142857
100.4926018,13.64906667,100.4926023,13.64906633,0.07,47.91,48.06,49:48.1,0.466666667,1.68
100.4926013,13.64906717,100.4926018,13.64906667,0.08,48.06,48.2,49:48.2,0.571428571,2.057142857
100.4926007,13.64906733,100.4926013,13.64906717,0.07,48.2,48.34,49:48.3,0.5,1.8
100.4926,13.64906767,100.4926007,13.64906733,0.08,48.34,48.49,49:48.5,0.533333333,1.92
100.4925995,13.64906817,100.4926,13.64906767,0.08,48.49,48.63,49:48.6,0.571428571,2.057142857
100.4925988,13.6490685,100.4925995,13.64906817,0.08,48.63,48.77,49:48.8,0.571428571,2.057142857
100.4925983,13.64906917,100.4925988,13.6490685,0.09,48.77,48.92,49:48.9,0.6,2.16
100.4925977,13.64906967,100.4925983,13.64906917,0.09,48.92,49.06,49:49.1,0.642857143,2.314285714
100.492597,13.64907,100.4925977,13.64906967,0.08,49.06,49.2,49:49.2,0.571428571,2.057142857
100.4925965,13.6490705,100.492597,13.64907,0.08,49.2,49.34,49:49.3,0.571428571,2.057142857
100.4925957,13.649071,100.4925965,13.6490705,0.11,49.34,49.49,49:49.5,0.733333333,2.64
100.4925952,13.64907133,100.4925957,13.649071,0.07,49.49,49.63,49:49.6,0.5,1.8
100.4925945,13.64907167,100.4925952,13.64907133,0.08,49.63,49.77,49:49.8,0.571428571,2.057142857
100.492594,13.649072,100.4925945,13.64907167,0.07,49.77,49.92,49:49.9,0.466666667,1.68
100.4925933,13.6490725,100.492594,13.649072,0.09,49.92,50.06,49:50.1,0.642857143,2.314285714
100.4925928,13.64907283,100.4925933,13.6490725,0.07,50.06,50.2,49:50.2,0.5,1.8
100.4925922,13.64907333,100.4925928,13.64907283,0.09,50.2,50.35,49:50.4,0.6,2.16
100.4925915,13.64907383,100.4925922,13.64907333,0.09,50.35,50.49,49:50.5,0.642857143,2.314285714
100.4925908,13.64907417,100.4925915,13.64907383,0.08,50.49,50.63,49:50.6,0.571428571,2.057142857
100.4925902,13.64907467,100.4925908,13.64907417,0.09,50.63,50.77,49:50.8,0.642857143,2.314285714
100.4925895,13.64907517,100.4925902,13.64907467,0.09,50.77,50.92,49:50.9,0.6,2.16
100.4925887,13.64907567,100.4925895,13.64907517,0.11,50.92,51.06,49:51.1,0.785714286,2.828571429
100.4925882,13.64907617,100.4925887,13.64907567,0.08,51.06,51.2,49:51.2,0.571428571,2.057142857
100.4925875,13.64907667,100.4925882,13.64907617,0.09,51.2,51.35,49:51.4,0.6,2.16
100.492587,13.649077,100.4925875,13.64907667,0.07,51.35,51.49,49:51.5,0.5,1.8
100.4925863,13.6490775,100.492587,13.649077,0.09,51.49,51.63,49:51.6,0.642857143,2.314285714
100.4925857,13.64907783,100.4925863,13.6490775,0.08,51.63,51.78,49:51.8,0.533333333,1.92
100.4925852,13.64907817,100.4925857,13.64907783,0.07,51.78,51.92,49:51.9,0.5,1.8
100.4925845,13.64907867,100.4925852,13.64907817,0.09,51.92,52.06,49:52.1,0.642857143,2.314285714
100.492584,13.64907917,100.4925845,13.64907867,0.08,52.06,52.2,49:52.2,0.571428571,2.057142857
100.4925833,13.64907967,100.492584,13.64907917,0.09,52.2,52.35,49:52.4,0.6,2.16
100.4925828,13.64908,100.4925833,13.64907967,0.07,52.35,52.49,49:52.5,0.5,1.8
100.492582,13.64908033,100.4925828,13.64908,0.1,52.49,52.63,49:52.6,0.714285714,2.571428571
100.4925815,13.64908067,100.492582,13.64908033,0.07,52.63,52.78,49:52.8,0.466666667,1.68
100.4925808,13.64908117,100.4925815,13.64908067,0.09,52.78,52.92,49:52.9,0.642857143,2.314285714
100.4925802,13.6490815,100.4925808,13.64908117,0.08,52.92,53.06,49:53.1,0.571428571,2.057142857
100.4925797,13.649082,100.4925802,13.6490815,0.08,53.06,53.21,49:53.2,0.533333333,1.92
100.492579,13.64908233,100.4925797,13.649082,0.08,53.21,53.35,49:53.3,0.571428571,2.057142857
100.4925783,13.64908283,100.492579,13.64908233,0.09,53.35,53.49,49:53.5,0.642857143,2.314285714
100.4925777,13.64908317,100.4925783,13.64908283,0.08,53.49,53.63,49:53.6,0.571428571,2.057142857
100.492577,13.6490835,100.4925777,13.64908317,0.08,53.63,53.78,49:53.8,0.533333333,1.92
100.4925765,13.649084,100.492577,13.6490835,0.08,53.78,53.92,49:53.9,0.571428571,2.057142857
100.4925758,13.6490845,100.4925765,13.649084,0.09,53.92,54.06,49:54.1,0.642857143,2.314285714
100.4925752,13.64908483,100.4925758,13.6490845,0.08,54.06,54.21,49:54.2,0.533333333,1.92
100.4925745,13.64908517,100.4925752,13.64908483,0.08,54.21,54.35,49:54.4,0.571428571,2.057142857
100.492574,13.6490855,100.4925745,13.64908517,0.07,54.35,54.49,49:54.5,0.5,1.8
100.4925733,13.649086,100.492574,13.6490855,0.09,54.49,54.64,49:54.6,0.6,2.16
100.4925728,13.64908633,100.4925733,13.649086,0.07,54.64,54.78,49:54.8,0.5,1.8
100.4925722,13.64908683,100.4925728,13.64908633,0.09,54.78,54.92,49:54.9,0.642857143,2.314285714
100.4925715,13.64908733,100.4925722,13.64908683,0.09,54.92,55.06,49:55.1,0.642857143,2.314285714
100.492571,13.64908783,100.4925715,13.64908733,0.08,55.06,55.21,49:55.2,0.533333333,1.92
100.4925702,13.64908817,100.492571,13.64908783,0.1,55.21,55.35,49:55.4,0.714285714,2.571428571
100.4925695,13.64908867,100.4925702,13.64908817,0.09,55.35,55.49,49:55.5,0.642857143,2.314285714
100.4925687,13.649089,100.4925695,13.64908867,0.1,55.49,55.64,49:55.6,0.666666667,2.4
100.492568,13.64908933,100.4925687,13.649089,0.08,55.64,55.78,49:55.8,0.571428571,2.057142857
100.4925673,13.64908983,100.492568,13.64908933,0.09,55.78,55.92,49:55.9,0.642857143,2.314285714
100.4925667,13.64909033,100.4925673,13.64908983,0.09,55.92,56.07,49:56.1,0.6,2.16
100.492566,13.64909083,100.4925667,13.64909033,0.09,56.07,56.21,49:56.2,0.642857143,2.314285714
100.4925653,13.64909117,100.492566,13.64909083,0.08,56.21,56.35,49:56.4,0.571428571,2.057142857
100.4925647,13.64909167,100.4925653,13.64909117,0.09,56.35,56.49,49:56.5,0.642857143,2.314285714
100.4925642,13.649092,100.4925647,13.64909167,0.07,56.49,56.64,49:56.6,0.466666667,1.68
100.4925635,13.6490925,100.4925642,13.649092,0.09,56.64,56.78,49:56.8,0.642857143,2.314285714
100.4925628,13.64909283,100.4925635,13.6490925,0.08,56.78,56.92,49:56.9,0.571428571,2.057142857
100.4925622,13.64909317,100.4925628,13.64909283,0.08,56.92,57.07,49:57.1,0.533333333,1.92
100.4925615,13.6490935,100.4925622,13.64909317,0.08,57.07,57.21,49:57.2,0.571428571,2.057142857
100.4925607,13.649094,100.4925615,13.6490935,0.11,57.21,57.35,49:57.4,0.785714286,2.828571429
100.4925602,13.64909433,100.4925607,13.649094,0.07,57.35,57.5,49:57.5,0.466666667,1.68
100.4925595,13.64909467,100.4925602,13.64909433,0.08,57.5,57.64,49:57.6,0.571428571,2.057142857
100.4925588,13.64909517,100.4925595,13.64909467,0.09,57.64,57.78,49:57.8,0.642857143,2.314285714
100.4925585,13.64909567,100.4925588,13.64909517,0.07,57.78,57.92,49:57.9,0.5,1.8
100.492558,13.64909617,100.4925585,13.64909567,0.08,57.92,58.07,49:58.1,0.533333333,1.92
100.4925575,13.6490965,100.492558,13.64909617,0.07,58.07,58.21,49:58.2,0.5,1.8
100.492557,13.649097,100.4925575,13.6490965,0.08,58.21,58.35,49:58.3,0.571428571,2.057142857
100.4925565,13.64909717,100.492557,13.649097,0.06,58.35,58.5,49:58.5,0.4,1.44
100.4925558,13.6490975,100.4925565,13.64909717,0.08,58.5,58.64,49:58.6,0.571428571,2.057142857
100.4925553,13.64909783,100.4925558,13.6490975,0.07,58.64,58.78,49:58.8,0.5,1.8
100.4925548,13.64909817,100.4925553,13.64909783,0.07,58.78,58.93,49:58.9,0.466666667,1.68
100.4925542,13.64909833,100.4925548,13.64909817,0.07,58.93,59.07,49:59.1,0.5,1.8
100.4925537,13.64909867,100.4925542,13.64909833,0.07,59.07,59.21,49:59.2,0.5,1.8
100.4925532,13.64909883,100.4925537,13.64909867,0.06,59.21,59.35,49:59.4,0.428571429,1.542857143
100.4925525,13.64909917,100.4925532,13.64909883,0.08,59.35,59.5,49:59.5,0.533333333,1.92
100.492552,13.6490995,100.4925525,13.64909917,0.07,59.5,59.64,49:59.6,0.5,1.8
100.4925513,13.64909967,100.492552,13.6490995,0.07,59.64,59.78,49:59.8,0.5,1.8
100.4925507,13.6491,100.4925513,13.64909967,0.08,59.78,59.93,49:59.9,0.533333333,1.92
100.49255,13.6491005,100.4925507,13.6491,0.09,59.93,0.07,50:00.1,-0.001503508,-0.005412629
100.4925493,13.64910083,100.49255,13.6491005,0.08,0.07,0.21,50:00.2,0.571428571,2.057142857
100.4925487,13.64910133,100.4925493,13.64910083,0.09,0.21,0.36,50:00.4,0.6,2.16
100.4925478,13.64910167,100.4925487,13.64910133,0.1,0.36,0.5,50:00.5,0.714285714,2.571428571
100.4925472,13.649102,100.4925478,13.64910167,0.08,0.5,0.64,50:00.6,0.571428571,2.057142857
100.4925465,13.64910233,100.4925472,13.649102,0.08,0.64,0.78,50:00.8,0.571428571,2.057142857
100.492546,13.64910267,100.4925465,13.64910233,0.07,0.78,0.93,50:00.9,0.466666667,1.68
100.4925453,13.649103,100.492546,13.64910267,0.08,0.93,1.07,50:01.1,0.571428571,2.057142857
100.4925447,13.64910317,100.4925453,13.649103,0.07,1.07,1.21,50:01.2,0.5,1.8
100.4925442,13.6491035,100.4925447,13.64910317,0.07,1.21,1.36,50:01.4,0.466666667,1.68
100.4925435,13.64910383,100.4925442,13.6491035,0.08,1.36,1.5,50:01.5,0.571428571,2.057142857
100.492543,13.64910417,100.4925435,13.64910383,0.07,1.5,1.64,50:01.6,0.5,1.8
100.4925423,13.6491045,100.492543,13.64910417,0.08,1.64,1.79,50:01.8,0.533333333,1.92
100.4925418,13.649105,100.4925423,13.6491045,0.08,1.79,1.93,50:01.9,0.571428571,2.057142857
