Speed_time,Speed_velocity,Speed_Setpoint,Speed_adjust,Speed_error
2.88,0.0,3.0,0.0,0.0
3.04,0.0,3.0,32.52000045776367,3.0
3.2,0.0,3.0,32.52000045776367,3.0
3.36,0.19,3.0,32.52000045776367,3.0
3.52,0.19,3.0,32.52000045776367,3.0
3.68,0.19,3.0,32.52000045776367,3.0
3.84,0.19,3.0,32.52000045776367,3.0
4.0,0.17,3.0,39.23999786376953,3.0
4.16,0.15,3.0,39.23999786376953,3.0
4.32,0.15,3.0,39.23999786376953,3.0
4.48,0.15,3.0,39.23999786376953,3.0
4.64,0.13,3.0,39.23999786376953,3.0
4.8,0.1,3.0,39.23999786376953,3.0
4.96,0.1,3.0,39.23999786376953,3.0
5.12,0.1,3.0,42.8106803894043,2.8299999237060547
5.28,0.1,3.0,42.8106803894043,2.8299999237060547
5.44,0.1,3.0,42.8106803894043,2.8299999237060547
5.6,0.1,3.0,42.8106803894043,2.8299999237060547
5.76,0.1,3.0,42.8106803894043,2.8299999237060547
5.92,0.1,3.0,42.8106803894043,2.8299999237060547
6.08,0.08,3.0,50.707096099853516,2.9000000953674316
6.24,0.06,3.0,50.707096099853516,2.9000000953674316
6.4,0.06,3.0,50.707096099853516,2.9000000953674316
6.56,0.04,3.0,50.707096099853516,2.9000000953674316
6.72,0.04,3.0,50.707096099853516,2.9000000953674316
6.88,0.04,3.0,50.707096099853516,2.9000000953674316
7.04,0.04,3.0,50.707096099853516,2.9000000953674316
7.2,0.08,3.0,56.295162200927734,2.9200000762939453
7.36,0.1,3.0,56.295162200927734,2.9200000762939453
7.52,0.15,3.0,56.295162200927734,2.9200000762939453
7.68,0.17,3.0,56.295162200927734,2.9200000762939453
7.84,0.21,3.0,56.295162200927734,2.9200000762939453
8.0,0.28,3.0,56.295162200927734,2.9200000762939453
8.16,0.3,3.0,62.756797790527344,2.9200000762939453
8.32,0.36,3.0,62.756797790527344,2.9200000762939453
8.48,0.44,3.0,62.756797790527344,2.9200000762939453
8.64,0.48,3.0,62.756797790527344,2.9200000762939453
8.8,0.57,3.0,62.756797790527344,2.9200000762939453
8.96,0.61,3.0,62.756797790527344,2.9200000762939453
9.12,0.65,3.0,65.52996063232422,2.9200000762939453
9.28,0.7,3.0,65.52996063232422,2.700000047683716
9.44,0.76,3.0,65.52996063232422,2.700000047683716
9.6,0.84,3.0,65.52996063232422,2.700000047683716
9.76,0.91,3.0,65.52996063232422,2.700000047683716
9.92,0.99,3.0,65.52996063232422,2.700000047683716
10.08,1.1,3.0,65.52996063232422,2.700000047683716
10.24,1.2,3.0,67.07738494873047,2.3499999046325684
10.4,1.27,3.0,67.07738494873047,2.3499999046325684
10.56,1.37,3.0,67.07738494873047,2.3499999046325684
10.72,1.43,3.0,67.07738494873047,2.3499999046325684
10.88,1.51,3.0,67.07738494873047,2.3499999046325684
11.04,1.57,3.0,67.07738494873047,2.3499999046325684
11.2,1.6,3.0,66.77872467041016,1.7999999523162842
11.36,1.64,3.0,66.77872467041016,1.7999999523162842
11.52,1.66,3.0,66.77872467041016,1.7999999523162842
11.68,1.64,3.0,66.77872467041016,1.7999999523162842
11.84,1.68,3.0,66.77872467041016,1.7999999523162842
12.0,1.67,3.0,66.77872467041016,1.7999999523162842
12.16,1.69,3.0,66.949462890625,1.399999976158142
12.32,1.71,3.0,66.949462890625,1.399999976158142
12.48,1.73,3.0,66.949462890625,1.399999976158142
12.64,1.74,3.0,66.949462890625,1.399999976158142
12.8,1.69,3.0,66.949462890625,1.399999976158142
12.96,1.67,3.0,66.949462890625,1.399999976158142
13.12,1.63,3.0,66.949462890625,1.399999976158142
13.28,1.59,3.0,70.06175231933594,1.309999942779541
13.44,1.53,3.0,70.06175231933594,1.309999942779541
13.6,1.45,3.0,70.06175231933594,1.309999942779541
13.76,1.36,3.0,70.06175231933594,1.309999942779541
13.92,1.28,3.0,70.06175231933594,1.309999942779541
14.08,1.19,3.0,70.06175231933594,1.309999942779541
14.24,1.11,3.0,74.61569213867188,1.409999966621399
14.4,1.05,3.0,74.61569213867188,1.409999966621399
14.56,0.99,3.0,74.61569213867188,1.409999966621399
14.72,0.93,3.0,74.61569213867188,1.409999966621399
14.88,0.91,3.0,74.61569213867188,1.409999966621399
15.04,0.84,3.0,74.61569213867188,1.409999966621399
15.2,0.82,3.0,83.16519927978516,1.8899999856948853
15.36,0.79,3.0,83.16519927978516,1.8899999856948853
15.52,0.73,3.0,83.16519927978516,1.8899999856948853
15.68,0.71,3.0,83.16519927978516,1.8899999856948853
15.84,0.71,3.0,83.16519927978516,1.8899999856948853
16.0,0.71,3.0,83.16519927978516,1.8899999856948853
16.16,0.73,3.0,83.16519927978516,1.8899999856948853
16.32,0.75,3.0,88.62872314453125,2.180000066757202
16.48,0.77,3.0,88.62872314453125,2.180000066757202
16.64,0.78,3.0,88.62872314453125,2.180000066757202
16.8,0.83,3.0,88.62872314453125,2.180000066757202
16.96,0.83,3.0,88.62872314453125,2.180000066757202
17.12,0.87,3.0,88.62872314453125,2.180000066757202
17.28,0.89,3.0,92.82544708251953,2.2699999809265137
17.44,0.94,3.0,92.82544708251953,2.2699999809265137
17.6,0.96,3.0,92.82544708251953,2.2699999809265137
17.76,0.97,3.0,92.82544708251953,2.2699999809265137
17.92,1.01,3.0,92.82544708251953,2.2699999809265137
18.08,1.02,3.0,92.82544708251953,2.2699999809265137
18.24,1.06,3.0,95.53275299072266,2.1100001335144043
18.4,1.06,3.0,95.53275299072266,2.1100001335144043
18.56,1.08,3.0,95.53275299072266,2.1100001335144043
18.72,1.12,3.0,95.53275299072266,2.1100001335144043
18.88,1.14,3.0,95.53275299072266,2.1100001335144043
19.04,1.14,3.0,95.53275299072266,2.1100001335144043
19.2,1.18,3.0,97.93748474121094,1.940000057220459
19.36,1.22,3.0,97.93748474121094,1.940000057220459
19.52,1.24,3.0,97.93748474121094,1.940000057220459
19.68,1.29,3.0,97.93748474121094,1.940000057220459
19.84,1.33,3.0,97.93748474121094,1.940000057220459
20.0,1.41,3.0,97.93748474121094,1.940000057220459
20.16,1.49,3.0,97.93748474121094,1.940000057220459
20.32,1.58,3.0,100.78980255126953,1.8200000524520874
