Speed_time,Speed_velocity,Speed_Setpoint,Speed_adjust,Speed_error
392.96,2.19,3.0,28.5488338470459,0.869999885559082
393.12,2.21,3.0,28.5488338470459,0.869999885559082
393.28,2.19,3.0,28.5488338470459,0.869999885559082
393.44,2.2,3.0,28.5488338470459,0.869999885559082
393.6,2.22,3.0,28.5488338470459,0.869999885559082
393.76,2.25,3.0,28.5488338470459,0.869999885559082
393.92,2.26,3.0,28.487714767456100,0.809999942779541
394.08,2.29,3.0,28.487714767456100,0.809999942779541
394.24,2.3,3.0,28.487714767456100,0.809999942779541
394.4,2.33,3.0,28.487714767456100,0.809999942779541
394.56,2.35,3.0,28.487714767456100,0.809999942779541
394.72,2.39,3.0,28.487714767456100,0.809999942779541
394.88,2.41,3.0,28.493715286254900,0.75
395.04,2.42,3.0,28.493715286254900,0.75
395.2,2.44,3.0,28.493715286254900,0.75
395.36,2.48,3.0,28.493715286254900,0.75
395.52,2.5,3.0,28.493715286254900,0.75
395.68,2.54,3.0,28.493715286254900,0.75
395.84,2.54,3.0,28.34675407409670,0.5899999141693120
396.0,2.58,3.0,28.34675407409670,0.5899999141693120
396.16,2.63,3.0,28.34675407409670,0.5899999141693120
396.32,2.65,3.0,28.34675407409670,0.5899999141693120
396.48,2.67,1.0,28.34675407409670,0.5899999141693120
396.64,2.7,1.0,28.34675407409670,0.5899999141693120
396.8,2.73,1.0,28.333833694458000,0.5899999141693120
396.96,2.76,1.0,28.333833694458000,0.46000003814697300
397.12,2.79,1.0,28.333833694458000,0.46000003814697300
397.28,2.82,1.0,28.333833694458000,0.46000003814697300
397.44,2.86,1.0,28.333833694458000,0.46000003814697300
397.6,2.91,1.0,28.333833694458000,0.46000003814697300
397.76,2.95,1.0,28.333833694458000,0.46000003814697300
397.92,2.97,1.0,20.724315643310500,-1.7300000190734900
398.08,3.01,1.0,20.724315643310500,-1.7300000190734900
398.24,3.05,1.0,20.724315643310500,-1.7300000190734900
398.4,3.09,1.0,20.724315643310500,-1.7300000190734900
398.56,3.1,1.0,20.724315643310500,-1.7300000190734900
398.72,3.15,1.0,20.724315643310500,-1.7300000190734900
398.88,3.18,1.0,22.582189559936500,-1.9700000286102300
399.04,3.22,1.0,22.582189559936500,-1.9700000286102300
399.2,3.22,1.0,22.582189559936500,-1.9700000286102300
399.36,3.24,1.0,22.582189559936500,-1.9700000286102300
399.52,3.27,1.0,22.582189559936500,-1.9700000286102300
399.68,3.29,1.0,22.582189559936500,-1.9700000286102300
399.84,3.34,1.0,22.582189559936500,-1.9700000286102300
400.0,3.39,1.0,22.528331756591800,-2.180000066757200
400.16,3.41,1.0,22.528331756591800,-2.180000066757200
400.32,3.44,1.0,22.528331756591800,-2.180000066757200
400.48,3.48,1.0,22.528331756591800,-2.180000066757200
400.64,3.49,1.0,22.528331756591800,-2.180000066757200
400.8,3.51,1.0,22.528331756591800,-2.180000066757200
400.96,3.5,1.0,22.501405715942400,-2.3399999141693100
401.12,3.51,1.0,22.501405715942400,-2.3399999141693100
401.28,3.51,1.0,22.501405715942400,-2.3399999141693100
401.44,3.49,1.0,22.501405715942400,-2.3399999141693100
401.6,3.48,1.0,22.501405715942400,-2.3399999141693100
401.76,3.47,1.0,22.501405715942400,-2.3399999141693100
401.92,3.47,1.0,22.413406372070300,-2.5
402.08,3.44,1.0,22.413406372070300,-2.5
402.24,3.41,1.0,22.413406372070300,-2.5
402.4,3.37,1.0,22.413406372070300,-2.5
402.56,3.33,1.0,22.413406372070300,-2.5
402.72,3.28,1.0,22.413406372070300,-2.5
402.88,3.24,1.0,22.413406372070300,-2.5
403.04,3.18,1.0,22.561981201171900,-2.4700000286102300
403.2,3.11,1.0,22.561981201171900,-2.4700000286102300
403.36,3.02,1.0,22.561981201171900,-2.4700000286102300
403.52,2.96,1.0,22.561981201171900,-2.4700000286102300
403.68,2.91,1.0,22.561981201171900,-2.4700000286102300
403.84,2.82,1.0,22.561981201171900,-2.4700000286102300
404.0,2.75,1.0,22.831146240234400,-2.180000066757200
404.16,2.71,3.0,22.831146240234400,-2.180000066757200
404.32,2.64,3.0,22.831146240234400,-2.180000066757200
404.48,2.59,3.0,22.831146240234400,-2.180000066757200
404.64,2.52,3.0,22.831146240234400,-2.180000066757200
404.8,2.44,3.0,22.831146240234400,-2.180000066757200
404.96,2.37,3.0,23.023548126220700,-1.75
405.12,2.3,3.0,23.023548126220700,-1.75
405.28,2.22,3.0,23.023548126220700,-1.75
405.44,2.12,3.0,23.023548126220700,-1.75
405.6,2.07,3.0,23.023548126220700,-1.75
405.76,1.99,3.0,23.023548126220700,-1.75
405.92,1.93,3.0,23.023548126220700,-1.75
406.08,1.87,3.0,25.0,0.630000114440918
406.24,1.82,3.0,25.0,0.630000114440918
406.4,1.75,3.0,25.0,0.630000114440918
406.56,1.72,3.0,25.0,0.630000114440918
406.72,1.64,3.0,25.0,0.630000114440918
406.88,1.58,3.0,25.0,0.630000114440918
407.04,1.54,3.0,25.0,0.630000114440918
407.2,1.49,3.0,25.0,0.630000114440918
407.36,1.42,3.0,25.0,0.630000114440918
407.52,1.39,3.0,25.0,0.630000114440918
407.68,1.34,3.0,25.0,0.630000114440918
407.84,1.3,3.0,25.0,0.630000114440918
408.0,1.26,3.0,29.1009521484375,1.4600000381469700
408.16,1.23,3.0,29.1009521484375,1.4600000381469700
408.32,1.21,3.0,29.1009521484375,1.4600000381469700
408.48,1.2,3.0,29.1009521484375,1.4600000381469700
408.64,1.19,3.0,29.1009521484375,1.4600000381469700
408.8,1.18,3.0,29.1009521484375,1.4600000381469700
408.96,1.18,3.0,29.1009521484375,1.4600000381469700
409.12,1.16,3.0,28.774473190307600,1.7400000095367400
409.28,1.15,3.0,28.774473190307600,1.7400000095367400
409.44,1.14,3.0,28.774473190307600,1.7400000095367400
409.6,1.13,3.0,28.774473190307600,1.7400000095367400
409.76,1.13,3.0,28.774473190307600,1.7400000095367400
409.92,1.14,3.0,28.774473190307600,1.7400000095367400
410.08,1.12,3.0,28.70182991027830,1.8200000524520900
410.24,1.13,3.0,28.70182991027830,1.8200000524520900
410.4,1.14,3.0,28.70182991027830,1.8200000524520900
410.56,1.17,3.0,28.70182991027830,1.8200000524520900
410.72,1.21,3.0,28.70182991027830,1.8200000524520900
410.88,1.25,3.0,28.70182991027830,1.8200000524520900
411.04,1.3,3.0,28.817110061645500,1.8799999952316300
411.2,1.37,3.0,28.817110061645500,1.8799999952316300
411.36,1.45,3.0,28.817110061645500,1.8799999952316300
411.52,1.49,3.0,28.817110061645500,1.8799999952316300
411.68,1.53,3.0,28.817110061645500,1.8799999952316300
411.84,1.6,3.0,28.817110061645500,1.8799999952316300
412.0,1.66,3.0,28.817110061645500,1.8799999952316300
412.16,1.72,3.0,28.56871223449710,1.7000000476837200
412.32,1.81,3.0,28.56871223449710,1.7000000476837200
412.48,1.88,3.0,28.56871223449710,1.7000000476837200
412.64,1.96,3.0,28.56871223449710,1.7000000476837200
412.8,2.05,3.0,28.56871223449710,1.7000000476837200
412.96,2.12,3.0,28.56871223449710,1.7000000476837200
413.12,2.2,3.0,28.27303123474120,1.340000033378600
413.28,2.3,3.0,28.27303123474120,1.340000033378600
413.44,2.36,3.0,28.27303123474120,1.340000033378600
413.6,2.46,3.0,28.27303123474120,1.340000033378600
413.76,2.5,3.0,28.27303123474120,1.340000033378600
413.92,2.54,3.0,28.27303123474120,1.340000033378600
414.08,2.6,3.0,27.867828369140600,0.7999999523162840
414.24,2.63,3.0,27.867828369140600,0.7999999523162840
414.4,2.67,3.0,27.867828369140600,0.7999999523162840
414.56,2.72,3.0,27.867828369140600,0.7999999523162840
414.72,2.75,3.0,27.867828369140600,0.7999999523162840
414.88,2.83,3.0,27.867828369140600,0.7999999523162840
415.04,2.89,3.0,27.867828369140600,0.7999999523162840
415.2,2.9,3.0,27.8270320892334,0.40000009536743200
415.36,2.94,3.0,27.8270320892334,0.40000009536743200
415.52,2.95,3.0,27.8270320892334,0.40000009536743200
415.68,2.97,3.0,27.8270320892334,0.40000009536743200
415.84,3.0,3.0,27.8270320892334,0.40000009536743200
416.0,2.99,3.0,27.8270320892334,0.40000009536743200
416.16,3.01,3.0,27.79730987548830,0.1099998950958250
416.32,3.06,3.0,27.79730987548830,0.1099998950958250
416.48,3.06,3.0,27.79730987548830,0.1099998950958250
416.64,3.11,3.0,27.79730987548830,0.1099998950958250
416.8,3.08,3.0,27.79730987548830,0.1099998950958250
416.96,3.12,3.0,27.79730987548830,0.1099998950958250
417.12,3.13,3.0,27.906753540039100,-0.009999990463256840
417.28,3.14,3.0,27.906753540039100,-0.009999990463256840
417.44,3.13,3.0,27.906753540039100,-0.009999990463256840
417.6,3.15,3.0,27.906753540039100,-0.009999990463256840
417.76,3.11,3.0,27.906753540039100,-0.009999990463256840
417.92,3.11,3.0,27.906753540039100,-0.009999990463256840
418.08,3.09,3.0,27.906753540039100,-0.009999990463256840
418.24,3.05,3.0,27.84050941467290,-0.13000011444091800
418.4,3.06,3.0,27.84050941467290,-0.13000011444091800
418.56,3.02,3.0,27.84050941467290,-0.13000011444091800
418.72,2.99,3.0,27.84050941467290,-0.13000011444091800
418.88,2.96,3.0,27.84050941467290,-0.13000011444091800
419.04,2.93,3.0,27.84050941467290,-0.13000011444091800
419.2,2.94,3.0,28.016193389892600,-0.08999991416931150
419.36,2.92,3.0,28.016193389892600,-0.08999991416931150
419.52,2.87,3.0,28.016193389892600,-0.08999991416931150
419.68,2.89,3.0,28.016193389892600,-0.08999991416931150
419.84,2.84,3.0,28.016193389892600,-0.08999991416931150
420.0,2.86,3.0,28.016193389892600,-0.08999991416931150
420.16,2.81,3.0,28.204551696777300,0.059999942779541000
