time_operate,x_east,y_north,latitude,longitude
0.0,661484.2543697312,1509690.1810465965,13.651581833333333,100.492979
0.32,661484.2603799733,1509690.1810835677,13.651581833333333,100.49297905555557
0.65,661484.2663902156,1509690.1811205393,13.651581833333333,100.49297911111113
0.97,661484.2724004551,1509690.1811575107,13.651581833333333,100.49297916666667
1.3,661484.2724004551,1509690.1811575107,13.651581833333333,100.49297916666667
1.62,661484.2724004551,1509690.1811575107,13.651581833333333,100.49297916666667
1.95,661484.2724004551,1509690.1811575107,13.651581833333333,100.49297916666667
2.27,661484.2663902156,1509690.1811205393,13.651581833333333,100.49297911111113
2.6,661484.26635241,1509690.1872664003,13.65158188888889,100.49297911111113
2.92,661484.2663146042,1509690.1934122609,13.651581944444445,100.49297911111113
3.25,661484.2663146042,1509690.1934122609,13.651581944444445,100.49297911111113
3.57,661484.2603421677,1509690.187229429,13.65158188888889,100.49297905555557
3.9,661484.2543697312,1509690.1810465965,13.651581833333333,100.492979
4.22,661484.2603799733,1509690.1810835677,13.651581833333333,100.49297905555557
4.55,661484.2603799733,1509690.1810835677,13.651581833333333,100.49297905555557
4.87,661484.2603799733,1509690.1810835677,13.651581833333333,100.49297905555557
5.2,661484.2543697312,1509690.1810465965,13.651581833333333,100.492979
5.52,661484.2543697312,1509690.1810465965,13.651581833333333,100.492979
5.85,661484.2543697312,1509690.1810465965,13.651581833333333,100.492979
6.17,661484.2245831626,1509690.1378407131,13.651581444444446,100.49297872222223
6.5,661484.1947965994,1509690.0946348298,13.651581055555559,100.49297844444446
6.82,661484.1650100308,1509690.0514289462,13.65158066666667,100.49297816666667
7.15,661484.1650100308,1509690.0514289462,13.65158066666667,100.49297816666667
7.47,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
7.8,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
8.12,661484.1648966137,1509690.0698665287,13.651580833333336,100.49297816666667
8.45,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
8.77,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
9.1,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
9.42,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
9.75,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
10.07,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
10.4,661484.1650100308,1509690.0514289462,13.65158066666667,100.49297816666667
10.72,661484.1650100308,1509690.0514289462,13.65158066666667,100.49297816666667
11.05,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
11.37,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
11.7,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
12.02,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
12.35,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
12.67,661484.1589997886,1509690.0513919746,13.65158066666667,100.49297811111113
13.0,661484.1529517407,1509690.0575008644,13.651580722222226,100.49297805555557
13.32,661484.1469415011,1509690.0574638927,13.651580722222226,100.49297800000001
13.65,661484.1469415011,1509690.0574638927,13.651580722222226,100.49297800000001
13.97,661484.1469793068,1509690.0513180317,13.65158066666667,100.49297800000001
14.3,661484.1469793068,1509690.0513180317,13.65158066666667,100.49297800000001
14.62,661484.1469793068,1509690.0513180317,13.65158066666667,100.49297800000001
14.95,661484.1529895463,1509690.0513550034,13.65158066666667,100.49297805555557
15.27,661484.1589997886,1509690.0513919746,13.65158066666667,100.49297811111113
15.6,661484.1650100308,1509690.0514289462,13.65158066666667,100.49297816666667
15.92,661484.1650100308,1509690.0514289462,13.65158066666667,100.49297816666667
16.25,661484.1650100308,1509690.0514289462,13.65158066666667,100.49297816666667
16.57,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
16.9,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
17.22,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
17.55,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
17.87,661484.1648966137,1509690.0698665287,13.651580833333336,100.49297816666667
18.2,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
18.52,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
18.85,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
19.17,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
19.5,661484.1649722251,1509690.0575748072,13.651580722222226,100.49297816666667
19.82,661484.1649344194,1509690.063720668,13.651580777777781,100.49297816666667
20.15,661484.1648966137,1509690.0698665287,13.651580833333336,100.49297816666667
20.47,661484.1648966137,1509690.0698665287,13.651580833333336,100.49297816666667
