time_operate,x_east,y_north,latitude,longitude
0,661384.1762,1509664.416,13.6513545,100.4920525
0.16,661384.1762,1509664.416,13.6513545,100.4920525
0.32,661384.1762,1509664.416,13.6513545,100.4920525
0.48,661384.1762,1509664.416,13.6513545,100.4920525
0.64,661384.1762,1509664.416,13.6513545,100.4920525
0.8,661384.1762,1509664.422,13.65135456,100.4920525
0.96,661384.1761,1509664.428,13.65135461,100.4920525
1.12,661384.1761,1509664.434,13.65135467,100.4920525
1.28,661384.1761,1509664.434,13.65135467,100.4920525
1.44,661384.1761,1509664.434,13.65135467,100.4920525
1.6,661384.1761,1509664.434,13.65135467,100.4920525
1.76,661384.1761,1509664.434,13.65135467,100.4920525
1.92,661384.1761,1509664.434,13.65135467,100.4920525
2.08,661384.1761,1509664.434,13.65135467,100.4920525
2.24,661384.1761,1509664.434,13.65135467,100.4920525
2.4,661384.1761,1509664.434,13.65135467,100.4920525
2.56,661384.1761,1509664.434,13.65135467,100.4920525
2.72,661384.1761,1509664.434,13.65135467,100.4920525
2.88,661384.1761,1509664.434,13.65135467,100.4920525
3.04,661384.1761,1509664.434,13.65135467,100.4920525
3.2,661384.1701,1509664.434,13.65135467,100.4920524
3.36,661384.1701,1509664.434,13.65135467,100.4920524
3.52,661384.1701,1509664.434,13.65135467,100.4920524
3.68,661384.1701,1509664.434,13.65135467,100.4920524
3.84,661384.164,1509664.44,13.65135472,100.4920524
4,661384.158,1509664.44,13.65135472,100.4920523
4.16,661384.158,1509664.44,13.65135472,100.4920523
4.32,661384.158,1509664.44,13.65135472,100.4920523
4.48,661384.158,1509664.446,13.65135478,100.4920523
4.64,661384.1579,1509664.453,13.65135483,100.4920523
4.8,661384.1579,1509664.453,13.65135483,100.4920523
4.96,661384.1579,1509664.453,13.65135483,100.4920523
5.12,661384.1579,1509664.453,13.65135483,100.4920523
5.28,661384.1579,1509664.453,13.65135483,100.4920523
5.44,661384.1579,1509664.453,13.65135483,100.4920523
5.6,661384.1579,1509664.453,13.65135483,100.4920523
5.76,661384.1579,1509664.453,13.65135483,100.4920523
5.92,661384.158,1509664.446,13.65135478,100.4920523
6.08,661384.158,1509664.44,13.65135472,100.4920523
6.24,661384.1581,1509664.434,13.65135467,100.4920523
6.4,661384.1581,1509664.434,13.65135467,100.4920523
6.56,661384.1581,1509664.434,13.65135467,100.4920523
6.72,661384.1581,1509664.434,13.65135467,100.4920523
6.88,661384.1581,1509664.434,13.65135467,100.4920523
7.04,661384.1581,1509664.434,13.65135467,100.4920523
7.2,661384.1581,1509664.434,13.65135467,100.4920523
7.36,661384.158,1509664.44,13.65135472,100.4920523
7.52,661384.158,1509664.446,13.65135478,100.4920523
7.68,661384.158,1509664.446,13.65135478,100.4920523
7.84,661384.158,1509664.44,13.65135472,100.4920523
8,661384.1581,1509664.434,13.65135467,100.4920523
8.16,661384.158,1509664.44,13.65135472,100.4920523
8.32,661384.158,1509664.446,13.65135478,100.4920523
8.48,661384.1519,1509664.453,13.65135483,100.4920523
8.64,661384.1459,1509664.453,13.65135483,100.4920522
8.8,661384.1399,1509664.452,13.65135483,100.4920522
8.96,661384.1399,1509664.452,13.65135483,100.4920522
9.12,661384.1399,1509664.452,13.65135483,100.4920522
9.28,661384.1399,1509664.452,13.65135483,100.4920522
9.44,661384.1399,1509664.452,13.65135483,100.4920522
9.6,661384.1399,1509664.459,13.65135489,100.4920522
9.76,661384.1398,1509664.465,13.65135494,100.4920522
9.92,661384.1398,1509664.471,13.651355,100.4920522
10.08,661384.1398,1509664.465,13.65135494,100.4920522
10.24,661384.1398,1509664.465,13.65135494,100.4920522
10.4,661384.1398,1509664.465,13.65135494,100.4920522
10.56,661384.1398,1509664.471,13.651355,100.4920522
10.72,661384.1398,1509664.471,13.651355,100.4920522
10.88,661384.1398,1509664.471,13.651355,100.4920522
11.04,661384.1398,1509664.471,13.651355,100.4920522
11.2,661384.1398,1509664.471,13.651355,100.4920522
11.36,661384.1398,1509664.471,13.651355,100.4920522
11.52,661384.1398,1509664.471,13.651355,100.4920522
11.68,661384.1398,1509664.471,13.651355,100.4920522
11.84,661384.1398,1509664.471,13.651355,100.4920522
12,661384.1398,1509664.471,13.651355,100.4920522
12.16,661384.1398,1509664.471,13.651355,100.4920522
12.32,661384.1398,1509664.471,13.651355,100.4920522
12.48,661384.1398,1509664.471,13.651355,100.4920522
12.64,661384.1398,1509664.471,13.651355,100.4920522
12.8,661384.1398,1509664.471,13.651355,100.4920522
12.96,661384.1398,1509664.477,13.65135506,100.4920522
13.12,661384.1397,1509664.483,13.65135511,100.4920522
13.28,661384.1397,1509664.489,13.65135517,100.4920522
13.44,661384.1397,1509664.489,13.65135517,100.4920522
13.6,661384.1397,1509664.489,13.65135517,100.4920522
13.76,661384.1397,1509664.489,13.65135517,100.4920522
13.92,661384.1397,1509664.489,13.65135517,100.4920522
14.08,661384.1397,1509664.489,13.65135517,100.4920522
14.24,661384.1397,1509664.489,13.65135517,100.4920522
14.4,661384.1397,1509664.489,13.65135517,100.4920522
14.56,661384.1397,1509664.489,13.65135517,100.4920522
14.72,661384.1397,1509664.489,13.65135517,100.4920522
14.88,661384.1397,1509664.489,13.65135517,100.4920522
15.04,661384.1397,1509664.489,13.65135517,100.4920522
15.2,661384.1397,1509664.489,13.65135517,100.4920522
15.36,661384.1397,1509664.489,13.65135517,100.4920522
