time_operate,raw_speed,filter_speed
0.16,0.0,0.5
0.32,0.0,0.46
0.48,0.0,0.42
0.64,0.0,0.38
0.8,0.0,0.31
0.96,0.0,0.25
1.12,0.0,0.19
1.28,0.0,0.15
1.44,0.0,0.1
1.6,0.0,0.06
1.76,0.0,0.02
1.92,0.0,0.02
2.08,0.0,0.0
2.24,0.0,0.0
2.4,0.0,0.0
2.56,0.0,0.0
2.72,0.0,0.0
2.88,0.0,0.0
3.04,0.0,0.0
3.2,0.58,0.03
3.36,0.83,0.07
3.52,0.83,0.11
3.68,0.83,0.15
3.84,1.25,0.21
4.0,1.49,0.28
4.16,1.31,0.34
4.32,1.72,0.42
4.48,1.31,0.49
4.64,1.31,0.55
4.8,1.25,0.61
4.96,1.67,0.69
5.12,1.72,0.78
5.28,1.72,0.86
5.44,1.31,0.92
5.6,1.67,1.0
5.76,1.25,1.07
5.92,1.67,1.15
6.08,1.31,1.21
6.24,1.67,1.3
6.4,1.67,1.36
6.56,1.25,1.38
6.72,1.25,1.4
6.88,1.72,1.44
7.04,1.25,1.44
7.2,1.67,1.46
7.36,1.25,1.46
7.52,1.31,1.44
7.68,1.67,1.46
7.84,1.31,1.46
8.0,1.31,1.46
8.16,1.67,1.46
8.32,1.25,1.44
8.48,1.25,1.42
8.64,1.25,1.42
8.8,1.67,1.42
8.96,1.25,1.42
9.12,1.25,1.4
9.28,1.67,1.42
9.44,1.72,1.42
9.6,1.25,1.4
9.76,1.25,1.4
9.92,1.67,1.42
10.08,1.25,1.4
10.24,1.67,1.42
10.4,1.31,1.4
10.56,1.31,1.4
10.72,1.25,1.4
10.88,1.67,1.4
11.04,1.31,1.4
11.2,1.25,1.4
11.36,1.31,1.38
11.52,1.67,1.4
11.68,1.25,1.4
11.84,1.67,1.42
12.0,1.31,1.4
12.16,1.31,1.4
12.32,1.72,1.42
12.48,1.67,1.42
12.64,1.31,1.4
12.8,1.67,1.42
12.96,1.25,1.42
13.12,1.25,1.4
13.28,1.67,1.42
13.44,1.25,1.4
13.6,1.25,1.4
13.76,1.31,1.4
13.92,1.25,1.4
14.08,1.67,1.4
14.24,1.25,1.4
14.4,1.25,1.4
14.56,1.25,1.4
14.72,1.67,1.4
14.88,1.31,1.4
15.04,1.25,1.38
15.2,1.67,1.4
15.36,1.25,1.4
15.52,1.72,1.4
