time_operate,raw_speed,filter_speed
0.16,0.0,0.0
0.32,0.0,0.0
0.48,0.41,0.03
0.64,0.41,0.0
0.8,0.0,0.0
0.96,0.0,0.0
1.12,0.41,0.02
1.28,0.41,0.0
1.44,0.41,0.02
1.6,0.0,0.03
1.76,0.0,0.02
1.92,0.58,0.02
2.08,0.58,0.02
2.24,0.0,0.02
2.4,0.0,0.02
2.56,0.0,0.02
2.72,0.41,0.0
2.88,0.42,0.02
3.04,0.93,0.07
3.2,0.83,0.11
3.36,0.42,0.13
3.52,0.42,0.15
3.68,0.93,0.19
3.84,0.42,0.21
4.0,0.58,0.23
4.16,0.83,0.27
4.32,0.83,0.32
4.48,0.42,0.33
4.64,0.83,0.38
4.8,0.83,0.42
4.96,0.93,0.46
5.12,0.42,0.5
5.28,0.83,0.52
5.44,0.83,0.57
5.6,0.83,0.61
5.76,0.83,0.65
5.92,0.42,0.67
6.08,0.93,0.69
6.24,0.83,0.69
6.4,0.83,0.69
6.56,0.83,0.71
6.72,0.83,0.73
6.88,0.93,0.73
7.04,0.83,0.75
7.2,0.42,0.75
7.36,0.83,0.75
7.52,0.42,0.73
7.68,0.93,0.75
7.84,0.42,0.73
8.0,0.83,0.73
8.16,0.83,0.73
8.32,0.42,0.73
8.48,0.83,0.73
8.64,0.83,0.73
8.8,0.93,0.73
8.96,0.83,0.73
9.12,0.42,0.73
9.28,0.83,0.73
9.44,0.83,0.73
9.6,0.83,0.73
9.76,0.93,0.73
9.92,0.83,0.73
10.08,0.93,0.73
10.24,0.42,0.71
10.4,0.93,0.73
10.56,0.83,0.73
10.72,0.83,0.75
10.88,0.93,0.75
11.04,0.93,0.77
11.2,0.93,0.77
11.36,0.58,0.75
11.52,0.83,0.77
11.68,0.83,0.77
11.84,0.42,0.75
12.0,0.93,0.75
12.16,0.42,0.73
12.32,0.93,0.75
12.48,0.42,0.73
12.64,0.42,0.71
12.8,0.83,0.71
12.96,0.42,0.69
13.12,0.58,0.67
13.28,0.83,0.67
13.44,0.42,0.67
13.6,0.83,0.67
13.76,0.42,0.65
13.92,0.42,0.63
14.08,0.83,0.63
14.24,0.83,0.63
14.4,0.42,0.6
14.56,0.83,0.63
14.72,0.83,0.63
14.88,0.42,0.6
15.04,0.83,0.63
15.2,0.42,0.6
15.36,0.83,0.63
15.52,0.83,0.63
15.68,0.42,0.63
15.84,0.83,0.65
16.0,0.83,0.65
16.16,0.83,0.67
16.32,0.83,0.69
16.48,0.42,0.67
16.64,0.83,0.69
16.8,0.83,0.69
16.96,0.83,0.71
17.12,0.42,0.71
17.28,0.83,0.71
17.44,0.42,0.69
17.6,0.83,0.71
17.76,0.42,0.69
17.92,0.42,0.67
18.08,0.83,0.69
18.24,0.42,0.67
18.4,0.83,0.69
18.56,0.42,0.67
18.72,0.93,0.67
18.88,0.83,0.69
19.04,0.42,0.67
19.2,0.83,0.67
19.36,0.42,0.65
19.52,0.83,0.65
19.68,0.42,0.65
19.84,1.25,0.67
20.0,0.58,0.65
20.16,0.83,0.65
20.32,0.42,0.65
20.48,0.93,0.65
20.64,0.83,0.67
20.8,0.93,0.67
20.96,0.42,0.67
21.12,0.83,0.69
21.28,0.42,0.67
21.44,0.83,0.69
21.6,0.42,0.67
21.76,0.83,0.69
21.92,0.58,0.67
22.08,0.83,0.67
22.24,0.93,0.69
22.4,0.42,0.67
22.56,0.83,0.69
22.72,0.42,0.67
22.88,0.83,0.69
23.04,0.83,0.67
23.2,0.42,0.67
23.36,0.83,0.67
23.52,0.42,0.67
23.68,0.93,0.67
23.84,0.83,0.67
24.0,0.42,0.65
24.16,0.83,0.67
24.32,0.93,0.67
24.48,0.83,0.69
24.64,0.83,0.69
24.8,0.58,0.69
24.96,0.83,0.69
25.12,0.83,0.71
25.28,0.42,0.69
25.44,0.83,0.69
25.6,0.83,0.71
25.76,0.83,0.71
25.92,0.42,0.71
26.08,0.83,0.71
26.24,0.83,0.71
26.4,0.42,0.71
26.56,0.93,0.71
26.72,0.93,0.73
26.88,0.83,0.73
27.04,0.42,0.71
27.2,0.83,0.73
27.36,0.93,0.73
